TIME,INPUT,INPUT,OUTPUT,OUTPUT,GOALS,GOALS
TIME,thruster1,thruster2,position,velocity,des_pos,des_vel
0.0,0.0492,0.0505,0.0,0.0,0.0,0.0
0.1,0.0525,0.0551,-0.002255,0.002565,0.0,0.0
0.2,0.0555,0.0571,-0.004277,0.005056,0.0,0.0
0.3,0.0623,0.0606,-0.006037,0.007407,0.0,0.0
0.4,0.0633,0.0627,-0.007565,0.009696,0.0,0.0
0.5,0.066,0.0661,-0.00887,0.01187,0.0,0.0
0.6,0.0664,0.0667,-0.009963,0.013958,0.0,0.0
0.7,0.0693,0.0686,-0.010852,0.015925,0.0,0.0
0.8,0.0684,0.0688,-0.011549,0.017807,0.0,0.0
0.9,0.069,0.0689,-0.012064,0.019568,0.0,0.0
1.0,0.0708,0.0691,-0.012408,0.021222,0.0,0.0
1.1,0.069,0.0684,-0.012591,0.022791,0.0,0.0
1.2,0.0684,0.068,-0.012624,0.024241,0.0,0.0
1.3,0.0667,0.0669,-0.012516,0.025591,0.0,0.0
1.4,0.0772,0.0714,-0.012279,0.026829,0.0,0.0
1.5,0.0668,0.0654,-0.011916,0.028121,0.0,0.0
1.6,0.0647,0.0644,-0.011434,0.029202,0.0,0.0
1.7,0.0601,0.0601,-0.01085,0.03017,0.0,0.0
1.8,0.0659,0.0619,-0.010176,0.030994,0.0,0.0
1.9,0.0553,0.0583,-0.00942,0.031824,0.0,0.0
2.0,0.0551,0.0565,-0.00858,0.03249,0.0,0.0
2.1,0.0515,0.0526,-0.007695,0.033069,0.0,0.0
2.2,0.052,0.0512,-0.006749,0.03355,0.0,0.0
2.3,0.0467,0.0488,-0.005757,0.033983,0.0,0.0
2.4,0.046,0.0455,-0.004727,0.034321,0.0,0.0
2.5,0.0432,0.0413,-0.003656,0.034596,0.0,0.0
2.6,0.0407,0.0409,-0.002582,0.034783,0.0,0.0
2.7,0.0358,0.0363,-0.001482,0.034928,0.0,0.0
2.79,0.0363,0.036,-0.000483,0.034973,0.0,0.0
2.9,0.036,0.0317,0.000742,0.035012,0.0,0.0
3.0,0.0287,0.0295,0.001847,0.035006,0.0,0.0
3.1,0.0258,0.0259,0.002969,0.03491,0.0,0.0
3.2,0.0243,0.0239,0.004066,0.034752,0.0,0.0
3.3,0.0209,0.0209,0.005147,0.034564,0.0,0.0
3.4,0.0192,0.0188,0.006206,0.034329,0.0,0.0
3.5,0.0156,0.0164,0.00724,0.034066,0.0,0.0
3.6,0.0144,0.0135,0.008246,0.033761,0.0,0.0
3.7,0.0098,0.0113,0.00922,0.033433,0.0,0.0
3.8,0.0082,0.0087,0.01015,0.033062,0.0,0.0
3.9,0.0053,0.0072,0.011059,0.032661,0.0,0.0
4.0,0.0024,0.0037,0.011919,0.032244,0.0,0.0
4.1,0.0035,0.0026,0.012735,0.031792,0.0,0.0
4.2,-0.0007,-0.0,0.013507,0.03136,0.0,0.0
4.3,-0.0007,-0.001,0.014234,0.030894,0.0,0.0
4.4,-0.0037,-0.0034,0.014915,0.03044,0.0,0.0
4.5,-0.0039,-0.0041,0.015549,0.029963,0.0,0.0
4.6,-0.0061,-0.0062,0.016137,0.029502,0.0,0.0
4.7,-0.0075,-0.0079,0.016677,0.02903,0.0,0.0
4.8,-0.0114,-0.009,0.017171,0.028554,0.0,0.0
4.9,-0.0077,-0.0087,0.017616,0.028062,0.0,0.0
5.0,-0.0093,-0.0104,0.018014,0.027629,0.0,0.0
5.1,-0.0115,-0.0108,0.018366,0.027203,0.0,0.0
5.2,-0.0103,-0.0114,0.018679,0.026773,0.0,0.0
5.3,-0.0097,-0.012,0.018951,0.026372,0.0,0.0
5.4,-0.0143,-0.0135,0.019185,0.025992,0.0,0.0
5.5,-0.0114,-0.0118,0.019379,0.025586,0.0,0.0
