TIME,INPUT,INPUT,OUTPUT,OUTPUT,GOALS,GOALS
TIME,thruster1,thruster2,position,velocity,des_pos,des_vel
0.0,-0.0243,-0.0267,0.0,0.0,0.0,0.0
0.1,-0.0166,-0.0225,-0.001899,0.001379,0.0,0.0
0.2,-0.0249,-0.0251,-0.003575,0.002664,0.0,0.0
0.3,-0.014,-0.0122,-0.005108,0.003885,0.0,0.0
0.4,-0.0132,-0.0127,-0.00656,0.004944,0.0,0.0
0.5,-0.0061,-0.0085,-0.007886,0.006082,0.0,0.0
0.6,-0.0149,-0.013,-0.009104,0.007121,0.0,0.0
0.7,-0.0045,-0.0053,-0.010218,0.008136,0.0,0.0
0.8,-0.0029,-0.0035,-0.011242,0.008953,0.0,0.0
0.9,0.0008,-0.0003,-0.01218,0.009846,0.0,0.0
1.0,0.0028,-0.0001,-0.013032,0.010686,0.0,0.0
1.1,-0.0004,0.0014,-0.0138,0.011504,0.0,0.0
1.2,0.0083,0.0105,-0.01449,0.012255,0.0,0.0
1.3,0.006,0.0053,-0.015109,0.012942,0.0,0.0
1.4,0.0061,0.0078,-0.015654,0.013702,0.0,0.0
1.5,0.0062,0.0087,-0.016131,0.014328,0.0,0.0
1.6,0.0082,0.0085,-0.016547,0.014915,0.0,0.0
1.7,0.0082,0.0104,-0.016907,0.015456,0.0,0.0
1.8,0.0125,0.0088,-0.017214,0.015961,0.0,0.0
1.9,0.0093,0.0107,-0.017475,0.016441,0.0,0.0
2.0,0.0101,0.0096,-0.017685,0.016885,0.0,0.0
2.1,0.0111,0.0105,-0.017857,0.017281,0.0,0.0
2.2,0.0116,0.0109,-0.017988,0.017631,0.0,0.0
2.3,0.0089,0.0109,-0.018087,0.017967,0.0,0.0
2.4,0.0114,0.0095,-0.018153,0.018273,0.0,0.0
2.5,0.0102,0.01,-0.018192,0.018527,0.0,0.0
2.6,0.0106,0.0102,-0.018206,0.018761,0.0,0.0
2.7,0.0112,0.0086,-0.018198,0.01897,0.0,0.0
2.8,0.0087,0.0106,-0.01817,0.019159,0.0,0.0
2.9,0.0086,0.0101,-0.018125,0.019319,0.0,0.0
3.0,0.0108,0.0088,-0.018065,0.019457,0.0,0.0
3.1,0.0083,0.0088,-0.017992,0.019576,0.0,0.0
3.2,0.0088,0.0077,-0.017907,0.019687,0.0,0.0
3.3,0.0073,0.0083,-0.017814,0.019763,0.0,0.0
3.4,0.0073,0.0072,-0.017713,0.019827,0.0,0.0
3.5,0.0062,0.0076,-0.017606,0.019874,0.0,0.0
3.6,0.0068,0.0072,-0.017496,0.019905,0.0,0.0
3.7,0.0064,0.0063,-0.017382,0.019928,0.0,0.0
3.8,0.009,0.0063,-0.017268,0.019948,0.0,0.0
3.9,0.005,0.0067,-0.017152,0.01996,0.0,0.0
4.0,0.0051,0.0057,-0.017033,0.019986,0.0,0.0
4.1,0.0058,0.0058,-0.016914,0.01998,0.0,0.0
4.2,0.0049,0.0048,-0.016795,0.019968,0.0,0.0
4.3,0.0052,0.0051,-0.016678,0.019961,0.0,0.0
4.4,0.0068,0.005,-0.016562,0.019941,0.0,0.0
4.5,0.003,0.0045,-0.016447,0.019929,0.0,0.0
4.6,0.0054,0.0053,-0.016333,0.019927,0.0,0.0
4.7,0.004,0.0039,-0.016221,0.019893,0.0,0.0
4.8,0.0039,0.0039,-0.016111,0.019886,0.0,0.0
4.9,0.0068,0.0038,-0.016003,0.019857,0.0,0.0
5.0,0.0036,0.0036,-0.015897,0.019834,0.0,0.0
5.1,0.0042,0.0036,-0.015794,0.019832,0.0,0.0
5.2,0.0022,0.003,-0.01569,0.019803,0.0,0.0
5.3,0.0028,0.0031,-0.01559,0.019778,0.0,0.0
