TIME,INPUT,INPUT,OUTPUT,OUTPUT,GOALS,GOALS
TIME,thruster1,thruster2,position,velocity,des_pos,des_vel
0.0,0.2036,0.2029,0.0,0.0,0.0,0.0
0.1,0.2017,0.2208,-0.004375,0.005398,0.0,0.0
0.2,0.2428,0.2215,-0.007912,0.010334,0.0,0.0
0.3,0.2329,0.2333,-0.010951,0.01543,0.0,0.0
0.4,0.2378,0.2329,-0.013466,0.020686,0.0,0.0
0.5,0.2385,0.2304,-0.015461,0.025875,0.0,0.0
0.6,0.2381,0.247,-0.01695,0.03105,0.0,0.0
0.7,0.2421,0.233,-0.017907,0.036103,0.0,0.0
0.8,0.2354,0.2458,-0.018362,0.041201,0.0,0.0
0.9,0.2356,0.2308,-0.018315,0.046204,0.0,0.0
1.0,0.2272,0.2316,-0.017768,0.051128,0.0,0.0
1.1,0.2214,0.223,-0.01674,0.055858,0.0,0.0
1.2,0.2196,0.2221,-0.015247,0.060411,0.0,0.0
1.3,0.2093,0.2083,-0.013309,0.064777,0.0,0.0
1.4,0.2008,0.2048,-0.010942,0.068941,0.0,0.0
1.5,0.184,0.1878,-0.008175,0.072813,0.0,0.0
1.6,0.1773,0.1853,-0.005034,0.076385,0.0,0.0
1.7,0.1677,0.1687,-0.001555,0.079613,0.0,0.0
1.8,0.1586,0.1597,0.002236,0.082593,0.0,0.0
1.9,0.1474,0.1413,0.006307,0.085253,0.0,0.0
2.0,0.1366,0.1346,0.010631,0.087603,0.0,0.0
2.1,0.1168,0.1159,0.015171,0.089626,0.0,0.0
2.2,0.1094,0.1094,0.019899,0.091322,0.0,0.0
2.3,0.0909,0.0835,0.024777,0.092673,0.0,0.0
2.4,0.0845,0.0848,0.029777,0.093712,0.0,0.0
2.5,0.0647,0.0675,0.03486,0.094422,0.0,0.0
2.6,0.0541,0.0613,0.040008,0.094926,0.0,0.0
2.7,0.0364,0.0364,0.045187,0.095119,0.0,0.0
2.8,0.0333,0.0289,0.050375,0.095031,0.0,0.0
2.9,0.0136,0.0021,0.055535,0.09464,0.0,0.0
3.0,0.0315,0.0198,0.060648,0.094014,0.0,0.0
3.1,-0.011,0.0024,0.065731,0.093249,0.0,0.0
3.2,-0.021,-0.0288,0.070651,0.092495,0.0,0.0
3.3,-0.0192,-0.0421,0.075516,0.091236,0.0,0.0
3.4,-0.0437,-0.0463,0.080239,0.089715,0.0,0.0
3.5,-0.0524,-0.0538,0.084805,0.088052,0.0,0.0
3.6,-0.0665,-0.0587,0.089193,0.086199,0.0,0.0
3.7,-0.0679,-0.0693,0.09339,0.084221,0.0,0.0
