TIME,INPUT_thr1,INPUT_thr2,OUTPUT_pos,OUTPUT_vel,GOAL_pos,GOAL_vel
0.0,0.1572,0.1557,0.0,0.0,0.0,0.0
0.1,0.1668,0.1622,-0.003506,0.00443,0.0,0.0
0.2,0.177,0.1793,-0.006381,0.008637,0.0,0.0
0.3,0.1781,0.1823,-0.008829,0.012992,0.0,0.0
0.4,0.1788,0.1751,-0.010827,0.017229,0.0,0.0
0.5,0.1814,0.186,-0.012427,0.021334,0.0,0.0
0.6,0.1894,0.1841,-0.013627,0.025504,0.0,0.0
0.7,0.1847,0.1855,-0.014401,0.029597,0.0,0.0
0.8,0.1865,0.1836,-0.014772,0.033565,0.0,0.0
0.9,0.1881,0.1888,-0.01475,0.037446,0.0,0.0
1.0,0.1783,0.1785,-0.014342,0.041308,0.0,0.0
1.1,0.1673,0.1856,-0.013562,0.044882,0.0,0.0
1.2,0.1741,0.164,-0.012431,0.04832,0.0,0.0
1.3,0.1725,0.1647,-0.010968,0.051516,0.0,0.0
1.4,0.1545,0.1632,-0.009192,0.054607,0.0,0.0
1.5,0.1486,0.1551,-0.00712,0.057411,0.0,0.0
1.6,0.1483,0.1422,-0.00478,0.059984,0.0,0.0
1.7,0.1364,0.1301,-0.002194,0.062337,0.0,0.0
1.8,0.1262,0.1399,0.000611,0.06437,0.0,0.0
1.9,0.1336,0.1201,0.003584,0.066301,0.0,0.0
2.0,0.1065,0.0987,0.006805,0.068078,0.0,0.0
2.1,0.0986,0.0961,0.010143,0.069293,0.0,0.0
2.2,0.0943,0.0942,0.013594,0.070345,0.0,0.0
2.3,0.0785,0.0826,0.017145,0.071291,0.0,0.0
2.4,0.0905,0.0838,0.020775,0.071932,0.0,0.0
2.5,0.0552,0.0525,0.024437,0.072662,0.0,0.0
2.6,0.0392,0.041,0.028213,0.072729,0.0,0.0
2.7,0.0492,0.0499,0.031942,0.072494,0.0,0.0
2.8,0.0377,0.0302,0.035657,0.072446,0.0,0.0
2.9,0.0349,0.0378,0.039353,0.072108,0.0,0.0
3.0,0.015,0.013,0.043017,0.07181,0.0,0.0
3.1,0.0102,0.0045,0.04663,0.071087,0.0,0.0
3.2,0.0351,0.0086,0.050199,0.070236,0.0,0.0
3.3,-0.0576,-0.0397,0.053629,0.06971,0.0,0.0
3.4,-0.0065,-0.0059,0.056973,0.067809,0.0,0.0
3.5,-0.0277,-0.0249,0.060168,0.066777,0.0,0.0
3.6,-0.032,-0.0317,0.063245,0.065409,0.0,0.0
3.7,-0.0417,-0.0375,0.066181,0.063966,0.0,0.0
3.8,-0.061,-0.0596,0.068967,0.062412,0.0,0.0
3.9,-0.0048,-0.0051,0.07158,0.060499,0.0,0.0
4.0,-0.0523,-0.0483,0.074057,0.059715,0.0,0.0
4.1,-0.0596,-0.0564,0.076416,0.058094,0.0,0.0
4.2,-0.0505,-0.0499,0.078605,0.056343,0.0,0.0
4.3,-0.0847,-0.0803,0.080628,0.054789,0.0,0.0
4.4,-0.1008,-0.0949,0.082466,0.052639,0.0,0.0
4.5,-0.0391,-0.0409,0.084077,0.050231,0.0,0.0
4.6,-0.1312,-0.1202,0.085503,0.049003,0.0,0.0
4.7,-0.0797,-0.0757,0.08673,0.046163,0.0,0.0
4.8,-0.0835,-0.0825,0.087718,0.044287,0.0,0.0
4.9,-0.0868,-0.0882,0.088518,0.042379,0.0,0.0
5.0,-0.1209,-0.1199,0.089125,0.040421,0.0,0.0
5.1,-0.0907,-0.0918,0.089507,0.03786,0.0,0.0
5.2,-0.0895,-0.093,0.08966,0.035896,0.0,0.0
5.3,-0.0886,-0.0866,0.089622,0.033996,0.0,0.0
5.4,-0.0918,-0.0923,0.089399,0.032207,0.0,0.0
5.5,-0.0853,-0.0876,0.088995,0.03037,0.0,0.0
5.6,-0.0992,-0.1014,0.088414,0.028684,0.0,0.0
5.7,-0.0182,-0.0363,0.087654,0.026768,0.0,0.0
5.8,-0.0769,-0.0806,0.086776,0.026344,0.0,0.0
5.9,0.0111,-0.0039,0.085809,0.024946,0.0,0.0
6.0,-0.0975,-0.0991,0.084781,0.025179,0.0,0.0
6.1,-0.0417,-0.0412,0.083682,0.023451,0.0,0.0
6.2,-0.0654,-0.0618,0.082462,0.022828,0.0,0.0
6.3,-0.0597,-0.0563,0.081162,0.021823,0.0,0.0
6.4,-0.0586,-0.0524,0.079768,0.020944,0.0,0.0
6.5,-0.053,-0.0476,0.07829,0.020143,0.0,0.0
6.6,-0.0426,-0.0382,0.076738,0.01947,0.0,0.0
6.7,-0.0312,-0.0258,0.07513,0.019014,0.0,0.0
6.8,-0.0425,-0.0364,0.073489,0.018816,0.0,0.0
6.9,-0.0406,-0.037,0.071818,0.018416,0.0,0.0
7.0,-0.03,-0.026,0.070109,0.018035,0.0,0.0
7.1,-0.0223,-0.0197,0.068372,0.017877,0.0,0.0
7.2,-0.0162,-0.0135,0.066627,0.01787,0.0,0.0
7.3,-0.019,-0.0193,0.064888,0.017986,0.0,0.0
7.4,0.0198,0.0229,0.063156,0.018021,0.0,0.0
7.5,0.0621,0.0304,0.061467,0.018842,0.0,0.0
7.6,-0.016,0.0139,0.059885,0.020162,0.0,0.0
7.7,-0.0047,0.0089,0.058392,0.020551,0.0,0.0
7.8,-0.0613,-0.041,0.056935,0.020946,0.0,0.0
7.9,0.0316,0.0385,0.055465,0.020282,0.0,0.0
8.0,0.0237,0.0174,0.054025,0.021291,0.0,0.0
8.1,0.0024,-0.0024,0.052648,0.02206,9e-05,0.00268
8.2,0.003,-0.003,0.051339,0.022385,0.000359,0.00536
8.3,0.0019,-0.0019,0.050061,0.022689,0.001436,0.01072
8.4,0.0025,-0.0025,0.048813,0.022984,0.002244,0.0134
8.5,0.0045,-0.0045,0.047594,0.023272,0.004399,0.01876
8.6,0.0148,-0.0148,0.046404,0.023552,0.005746,0.02144
