TIME,INPUT_thr1,INPUT_thr2,OUTPUT_pos,OUTPUT_vel,GOAL_pos,GOAL_vel
0.0,0.0714,0.0759,0.0,0.0,0.0,0.0
0.1,0.1026,0.0946,-0.002467,0.002685,0.0,0.0
0.2,0.0877,0.091,-0.004608,0.005553,0.0,0.0
0.3,0.0942,0.0963,-0.006448,0.008613,0.0,0.0
0.4,0.0863,0.0956,-0.007999,0.011376,0.0,0.0
0.5,0.0867,0.096,-0.009276,0.01406,0.0,0.0
0.6,0.1179,0.1102,-0.010288,0.016503,0.0,0.0
0.7,0.0709,0.0884,-0.011076,0.018957,0.0,0.0
0.8,0.088,0.0967,-0.011599,0.021478,0.0,0.0
0.9,0.0972,0.0996,-0.011909,0.023367,0.0,0.0
1.0,0.1122,0.1046,-0.012023,0.025384,0.0,0.0
1.1,0.0916,0.095,-0.011934,0.027433,0.0,0.0
1.2,0.0885,0.0911,-0.011637,0.029472,0.0,0.0
1.3,0.0904,0.092,-0.011156,0.031146,0.0,0.0
1.4,0.0894,0.0886,-0.010516,0.032678,0.0,0.0
1.5,0.081,0.0829,-0.009726,0.034139,0.0,0.0
1.6,0.0911,0.0849,-0.008796,0.035456,0.0,0.0
1.7,0.08,0.0774,-0.007756,0.036599,0.0,0.0
1.8,0.0791,0.0767,-0.006563,0.037772,0.0,0.0
1.9,0.0623,0.0659,-0.005304,0.038694,0.0,0.0
2.0,0.0622,0.0717,-0.003944,0.039504,0.0,0.0
2.1,0.0551,0.0579,-0.002518,0.040062,0.0,0.0
2.2,0.0442,0.0364,-0.001035,0.040596,0.0,0.0
2.3,0.0787,0.0727,0.000473,0.040859,0.0,0.0
2.4,-0.0232,0.0751,0.002023,0.040984,0.0,0.0
2.5,0.0449,0.0428,0.003603,0.041486,0.0,0.0
2.6,0.0689,0.0429,0.005184,0.041255,0.0,0.0
2.7,0.0299,0.022,0.00676,0.041348,0.0,0.0
2.8,0.0361,0.0218,0.008356,0.041508,0.0,0.0
2.9,0.0147,0.0095,0.009938,0.041195,0.0,0.0
3.0,0.0377,0.0171,0.011492,0.040881,0.0,0.0
3.1,0.0428,0.0191,0.012999,0.040375,0.0,0.0
3.2,0.0358,0.0137,0.014473,0.040159,0.0,0.0
3.3,0.0109,0.0043,0.015929,0.039986,0.0,0.0
3.4,0.0228,0.0085,0.017361,0.039655,0.0,0.0
3.5,-0.0033,-0.0041,0.018744,0.039097,0.0,0.0
3.6,0.0022,-0.0086,0.020081,0.038619,0.0,0.0
3.7,-0.0019,0.0031,0.021364,0.03785,0.0,0.0
3.8,0.0083,0.0006,0.022548,0.037158,0.0,0.0
3.9,-0.0066,-0.0064,0.023682,0.036577,0.0,0.0
4.0,-0.0086,-0.0057,0.024762,0.036042,0.0,0.0
4.1,-0.0029,-0.0043,0.025779,0.035356,0.0,0.0
4.2,-0.0168,-0.0112,0.026738,0.034703,0.0,0.0
4.3,-0.0309,-0.0174,0.027618,0.034111,0.0,0.0
4.4,-0.0418,-0.0274,0.028439,0.033336,0.0,0.0
4.5,-0.0412,-0.026,0.029174,0.032398,0.0,0.0
4.6,0.0044,-0.0037,0.029808,0.031343,0.0,0.0
4.7,-0.0048,-0.0097,0.030341,0.030498,0.0,0.0
4.8,-0.028,-0.0209,0.030825,0.030211,0.0,0.0
4.9,-0.0173,-0.0168,0.031273,0.029746,0.0,0.0
5.0,-0.0457,-0.0306,0.031659,0.029057,0.0,0.0
5.1,-0.0562,-0.0389,0.031984,0.028435,0.0,0.0
5.2,-0.0079,-0.0108,0.032228,0.027469,0.0,0.0
5.3,-0.0145,-0.0179,0.03237,0.026557,0.0,0.0
5.4,-0.083,-0.0519,0.03246,0.026281,0.0,0.0
5.5,-0.0119,-0.018,0.032514,0.025695,0.0,0.0
5.6,-0.024,-0.0279,0.032464,0.024534,0.0,0.0
5.7,-0.054,-0.0374,0.032351,0.024226,0.0,0.0
5.8,0.0305,-0.0015,0.032197,0.023681,0.0,0.0
5.9,-0.0075,-0.0195,0.031972,0.023084,0.0,0.0
6.0,-0.0343,-0.0347,0.031748,0.023376,0.0,0.0
6.1,0.0117,-0.0035,0.031524,0.023118,0.0,0.0
6.2,-0.0057,-0.0184,0.031255,0.022685,0.0,0.0
6.3,0.0007,-0.0143,0.030981,0.022838,0.0,0.0
6.4,-0.0394,-0.0301,0.030708,0.022748,0.0,0.0
6.5,0.0097,-0.001,0.030432,0.022635,0.0,0.0
6.6,-0.0173,-0.0147,0.030113,0.022228,0.0,0.0
6.7,0.017,-0.0059,0.029795,0.022403,0.0,0.0
6.8,-0.0222,-0.0069,0.029476,0.022326,0.0,0.0
6.9,0.0249,0.0089,0.029169,0.022515,0.0,0.0
7.0,-0.0086,-0.0052,0.028863,0.022516,0.0,0.0
7.1,0.0044,0.0037,0.028586,0.022917,0.0,0.0
7.2,-0.021,-0.01,0.028326,0.022958,0.0,0.0
7.3,-0.0105,-0.0012,0.02808,0.023094,0.0,0.0
7.4,-0.0158,-0.0038,0.027828,0.022949,0.0,0.0
7.5,-0.0083,0.0002,0.027573,0.022951,0.0,0.0
7.6,-0.0096,-0.0006,0.027311,0.022911,0.0,0.0
7.7,-0.0119,-0.0026,0.02705,0.022961,0.0,0.0
7.8,-0.0218,-0.0067,0.026797,0.022981,0.0,0.0
7.9,0.0025,0.0031,0.026542,0.022939,0.0,0.0
8.0,-0.0024,0.0007,0.026276,0.022851,0.0,0.0
8.1,-0.0013,0.0013,0.026021,0.023028,9e-05,0.00268
8.2,0.0001,-0.0001,0.025775,0.023141,0.000359,0.00536
8.3,0.0015,-0.0015,0.025543,0.023261,0.001436,0.01072
8.4,0.0002,-0.0002,0.025323,0.023375,0.002244,0.0134
8.5,0.0007,-0.0007,0.025113,0.023483,0.004399,0.01876
8.6,0.001,-0.001,0.024914,0.023585,0.005746,0.02144
8.7,-0.0033,0.0033,0.024726,0.023681,0.008978,0.0268
8.8,0.0022,-0.0022,0.024546,0.023773,0.010863,0.02948
8.9,0.0036,-0.0036,0.024375,0.023859,0.015173,0.03484
9.0,0.0039,-0.0039,0.024213,0.023942,0.017597,0.03752
9.1,-0.003,0.003,0.024059,0.024021,0.022984,0.04288
9.2,-0.0011,0.0011,0.023913,0.024096,0.025946,0.04556
9.3,0.0028,-0.0028,0.023773,0.024167,0.032411,0.05092
9.4,-0.0096,0.0096,0.02364,0.024238,0.035912,0.0536
9.5,0.0073,-0.0073,0.023516,0.024303,0.043454,0.05896
9.6,0.0041,-0.0041,0.023397,0.024367,0.047494,0.06164
9.7,-0.0009,0.0009,0.023285,0.024428,0.056113,0.067
9.8,0.009,-0.009,0.023178,0.024487,0.060691,0.06968
9.89,0.0059,-0.0059,0.023086,0.024538,0.070388,0.07504
10.0,-0.005,0.005,0.022983,0.024596,0.075505,0.07772
10.1,0.0064,-0.0064,0.022892,0.024646,0.086279,0.08308
10.2,0.0012,-0.0012,0.022807,0.024694,0.091935,0.08576
10.3,0.0031,-0.0031,0.022726,0.024741,0.103786,0.09112
10.4,-0.0027,0.0027,0.02265,0.024785,0.109981,0.0938
10.5,-0.0005,0.0005,0.022579,0.024825,0.122909,0.09916
10.6,-0.0027,0.0027,0.022511,0.024864,0.129642,0.10184
10.7,-0.0001,0.0001,0.022447,0.024901,0.143648,0.1072
10.8,0.0026,-0.0026,0.022386,0.024935,0.15092,0.10988
10.9,-0.0022,0.0022,0.022328,0.024967,0.166003,0.11524
11.0,-0.0017,0.0017,0.022275,0.024994,0.173814,0.11792
11.1,1.3875,1.3925,0.022223,0.025026,0.189974,0.12328
11.2,1.389,1.391,0.022235,0.030744,0.198324,0.12596
11.3,1.3899,1.3901,0.024161,0.058288,0.215562,0.13132
11.4,1.3938,1.3862,0.028757,0.084108,0.22445,0.134
11.5,1.3885,1.3915,0.035841,0.108061,0.242765,0.13936
11.6,1.3904,1.3896,0.045223,0.130071,0.252192,0.14204
11.7,1.3899,1.3901,0.056706,0.15012,0.271585,0.1474
11.8,1.3912,1.3888,0.070096,0.168235,0.28155,0.15008
11.9,1.3933,1.3867,0.085203,0.184486,0.30202,0.15544
12.0,1.3935,1.3865,0.101845,0.198969,0.312366,0.15808
12.1,1.3935,1.3865,0.119665,0.211678,0.334071,0.16348
12.2,1.399,1.381,0.13878,0.218752,0.345114,0.16616
12.3,1.3975,1.3825,0.158639,0.229134,0.367739,0.17152
12.4,1.3995,1.3805,0.179468,0.238195,0.379321,0.1742
12.5,1.3986,1.3814,0.201142,0.24607,0.403022,0.17956
12.6,1.3984,1.3816,0.22355,0.252891,0.415143,0.18224
12.7,1.3989,1.3811,0.246591,0.258779,0.439922,0.1876
12.8,1.3976,1.3824,0.270179,0.263847,0.452581,0.19028
12.9,1.3963,1.3837,0.29448,0.268237,0.478438,0.19564
13.0,1.3947,1.3853,0.318697,0.27192,0.491834,0.19836
13.1,1.3941,1.3859,0.343501,0.275099,0.5184,0.2
13.2,1.3943,1.3857,0.368599,0.277807,0.5318,0.2
13.3,1.392,1.388,0.393947,0.280109,0.5586,0.2
13.4,1.3909,1.3891,0.419507,0.28206,0.572,0.2
13.5,1.3917,1.3883,0.445246,0.283711,0.5988,0.2
13.6,1.3905,1.3895,0.471138,0.285106,0.6122,0.2
13.7,1.3925,1.3875,0.497157,0.286282,0.639,0.2
13.8,1.3912,1.3888,0.523284,0.287272,0.6524,0.2
13.9,1.392,1.388,0.549503,0.288105,0.6792,0.2
14.0,1.3909,1.3891,0.575797,0.288806,0.6926,0.2
14.1,1.3905,1.3895,0.60242,0.289402,0.706,0.2
14.2,0.0035,-0.0035,0.628569,0.289895,0.7328,0.2
14.3,0.0029,-0.0029,0.654969,0.284699,0.7462,0.2
14.4,0.0019,-0.0019,0.67958,0.25947,0.773,0.2
14.5,0.0037,-0.0037,0.701852,0.237745,0.7864,0.2
14.6,0.0022,-0.0022,0.721905,0.219027,0.8132,0.2
14.7,-0.001,0.001,0.740576,0.202271,0.8266,0.2
14.8,-0.0002,0.0002,0.757496,0.187615,0.8534,0.2
14.9,-0.0005,0.0005,0.773183,0.17445,0.8668,0.2
15.0,-0.0007,0.0007,0.787339,0.162895,0.8936,0.2
15.1,-0.0002,0.0002,0.800536,0.152381,0.907,0.2
15.2,-0.002,0.002,0.812734,0.142872,0.9338,0.2
15.3,-0.0006,0.0006,0.824026,0.134237,0.9472,0.2
15.4,-0.0016,0.0016,0.834494,0.126371,0.974,0.2
15.5,-0.0002,0.0002,0.844211,0.11918,0.9874,0.2
15.6,-0.0015,0.0015,0.853239,0.112593,1.0142,0.2
15.7,-0.0049,0.0049,0.861636,0.106549,1.0276,0.2
15.8,0.002,-0.002,0.869455,0.100993,1.0544,0.2
15.9,0.0024,-0.0024,0.87674,0.095881,1.0678,0.2
16.0,-0.0,0.0,0.883535,0.091182,1.0946,0.2
16.1,0.0028,-0.0028,0.889879,0.086855,1.108,0.2
16.2,-0.0009,0.0009,0.895809,0.082873,1.1348,0.2
16.3,0.0002,-0.0002,0.90141,0.079176,1.1482,0.2
16.4,0.0031,-0.0031,0.906552,0.07584,1.175,0.2
16.5,0.0004,-0.0004,0.911425,0.072739,1.1884,0.2
16.6,0.0011,-0.0011,0.916045,0.069857,1.2152,0.2
16.7,0.0008,-0.0008,0.920302,0.067257,1.2286,0.2
16.8,0.0001,-0.0001,0.924352,0.064837,1.2554,0.2
16.9,0.0027,-0.0027,0.928169,0.062605,1.2688,0.2
17.0,0.0035,-0.0035,0.931772,0.060541,1.2956,0.2
17.1,-0.0039,0.0039,0.935176,0.058626,1.309,0.2
17.2,0.0002,-0.0002,0.938395,0.056846,1.3358,0.2
17.3,1.3888,1.3912,0.941443,0.055195,1.3492,0.2
17.4,1.3891,1.3909,0.944391,0.059332,1.376,0.2
17.5,1.3907,1.3893,0.949092,0.085171,1.3894,0.2
17.6,1.3895,1.3905,0.956199,0.108883,1.4162,0.2
17.7,1.3908,1.3892,0.965767,0.131082,1.4296,0.2
17.8,1.3901,1.3899,0.977349,0.151064,1.4564,0.2
17.9,1.3922,1.3878,0.990829,0.169089,1.4698,0.2
18.0,1.3986,1.3814,1.006016,0.185234,1.4966,0.2
18.1,1.3918,1.3882,1.022727,0.199596,1.51,0.2
18.2,1.3922,1.3878,1.040976,0.212414,1.5368,0.2
18.3,1.3871,1.3929,1.060043,0.223475,1.5502,0.2
18.4,1.3916,1.3884,1.080343,0.233266,1.577,0.2
18.5,1.3954,1.3846,1.101559,0.24181,1.5904,0.2
18.6,1.3913,1.3887,1.123571,0.24923,1.6172,0.2
18.7,1.394,1.386,1.146274,0.255654,1.6306,0.2
18.8,1.3936,1.3864,1.169574,0.261199,1.6574,0.2
18.9,1.3964,1.3836,1.193388,0.265968,1.6708,0.2
19.0,1.3922,1.3878,1.217645,0.270058,1.6976,0.2
19.1,1.3868,1.3932,1.242279,0.273553,1.711,0.2
19.2,1.3943,1.3857,1.267237,0.276538,1.7378,0.2
19.3,1.388,1.392,1.29247,0.279075,1.7512,0.2
19.4,1.3951,1.3849,1.317937,0.281222,1.778,0.2
19.5,1.3951,1.3849,1.343601,0.283038,1.7914,0.2
19.6,1.3947,1.3853,1.369432,0.284564,1.8182,0.2
19.7,1.4015,1.3785,1.395402,0.285845,1.8316,0.2
19.8,1.3877,1.3923,1.421752,0.286928,1.8584,0.2
19.9,1.3954,1.3846,1.447676,0.287812,1.8718,0.2
20.0,1.4021,1.3779,1.473944,0.288563,1.8986,0.2
20.1,1.3905,1.3895,1.50028,0.289184,1.912,0.2
20.2,1.3932,1.3868,1.526409,0.289696,1.9388,0.2
20.3,1.3967,1.3833,1.553114,0.290137,1.9522,0.2
20.4,0.0152,-0.0152,1.579329,0.290498,1.9656,0.2
20.5,0.0009,-0.0009,1.606048,0.285186,1.9924,0.2
20.6,0.0022,-0.0022,1.630703,0.259853,2.0192,0.2
20.7,0.0162,-0.0162,1.653008,0.238047,2.0326,0.2
20.8,-0.02,0.02,1.673475,0.218909,2.0594,0.2
20.9,-0.0029,0.0029,1.691781,0.202456,2.0728,0.2
