TIME,INPUT,INPUT,OUTPUT,OUTPUT,GOALS,GOALS
TIME,thruster1,thruster2,position,velocity,des_pos,des_vel
0.0,0.01,0.0104,0.0,0.0,0.0,0.0
0.1,0.014,0.0151,-0.001823,0.001798,0.0,0.0
0.2,0.0184,0.0177,-0.003471,0.003494,0.0,0.0
0.3,0.0233,0.0211,-0.004954,0.005121,0.0,0.0
0.4,0.0212,0.0219,-0.006278,0.00668,0.0,0.0
0.5,0.0255,0.0252,-0.007449,0.008141,0.0,0.0
0.6,0.0271,0.0271,-0.00848,0.009509,0.0,0.0
0.7,0.0301,0.0286,-0.009377,0.010816,0.0,0.0
0.8,0.0305,0.0297,-0.01014,0.01204,0.0,0.0
0.9,0.0307,0.0301,-0.010797,0.013215,0.0,0.0
1.0,0.032,0.0324,-0.011335,0.014293,0.0,0.0
1.1,0.0319,0.0329,-0.011769,0.015303,0.0,0.0
1.2,0.0329,0.0324,-0.012102,0.016242,0.0,0.0
1.3,0.0338,0.0334,-0.012349,0.017127,0.0,0.0
1.4,0.0336,0.0332,-0.012509,0.017946,0.0,0.0
1.5,0.0344,0.0323,-0.012591,0.018714,0.0,0.0
1.6,0.0331,0.0329,-0.012598,0.019405,0.0,0.0
1.7,0.0327,0.0324,-0.01254,0.020045,0.0,0.0
1.8,0.032,0.0324,-0.01242,0.020627,0.0,0.0
1.9,0.0307,0.0316,-0.012244,0.021156,0.0,0.0
2.0,0.0307,0.031,-0.012019,0.021629,0.0,0.0
2.1,0.0296,0.0297,-0.011749,0.022052,0.0,0.0
2.2,0.0299,0.0297,-0.011435,0.02243,0.0,0.0
2.3,0.0301,0.029,-0.011093,0.02276,0.0,0.0
2.4,0.0279,0.0284,-0.010716,0.023067,0.0,0.0
2.5,0.03,0.0274,-0.01031,0.023333,0.0,0.0
2.6,0.0234,0.0261,-0.009879,0.023567,0.0,0.0
2.7,0.0246,0.0252,-0.009426,0.023749,0.0,0.0
2.8,0.024,0.0235,-0.008959,0.023879,0.0,0.0
2.9,0.0218,0.0219,-0.00848,0.023987,0.0,0.0
3.0,0.0221,0.021,-0.007992,0.024056,0.0,0.0
3.1,0.019,0.0192,-0.007498,0.024096,0.0,0.0
3.2,0.0165,0.0179,-0.007002,0.024104,0.0,0.0
3.3,0.0178,0.0167,-0.006508,0.024069,0.0,0.0
3.4,0.0151,0.0159,-0.006018,0.024016,0.0,0.0
3.5,0.0135,0.014,-0.005534,0.02395,0.0,0.0
3.6,0.0122,0.0131,-0.005058,0.023854,0.0,0.0
3.7,0.0118,0.0114,-0.004593,0.023736,0.0,0.0
3.8,0.0107,0.0106,-0.004144,0.023607,0.0,0.0
3.9,0.0096,0.0099,-0.003701,0.023465,0.0,0.0
4.0,0.0073,0.0088,-0.003276,0.023317,0.0,0.0
4.1,0.0084,0.0073,-0.002871,0.023156,0.0,0.0
4.2,0.006,0.0067,-0.002474,0.022986,0.0,0.0
4.3,0.0057,0.0058,-0.002098,0.022815,0.0,0.0
4.4,0.0056,0.0041,-0.00174,0.022637,0.0,0.0
4.5,0.0036,0.0044,-0.001397,0.022456,0.0,0.0
4.6,0.0032,0.003,-0.001078,0.022277,0.0,0.0
4.7,0.0034,0.0028,-0.000774,0.022093,0.0,0.0
4.8,0.0058,0.0022,-0.000488,0.021915,0.0,0.0
4.9,-0.0006,0.0015,-0.000219,0.021761,0.0,0.0
5.0,0.0035,0.0012,3.5e-05,0.021594,0.0,0.0
5.1,0.0002,0.0007,0.000268,0.021425,0.0,0.0
5.2,-0.0001,-0.0,0.000491,0.021268,0.0,0.0
5.3,-0.0002,-0.0002,0.000695,0.021102,0.0,0.0
5.4,0.0005,-0.0004,0.000884,0.020941,0.0,0.0
5.5,-0.0015,-0.0011,0.001055,0.020797,0.0,0.0
5.6,-0.0013,-0.001,0.001213,0.020653,0.0,0.0
5.7,0.0005,-0.0016,0.001357,0.020509,0.0,0.0
5.8,-0.002,-0.0016,0.001486,0.020385,0.0,0.0
5.9,-0.0021,-0.0019,0.001605,0.020264,0.0,0.0
6.0,-0.0025,-0.002,0.00171,0.020138,0.0,0.0
6.1,-0.0042,-0.0023,0.001803,0.020017,0.0,0.0
6.2,-0.0033,-0.0023,0.001884,0.019894,0.0,0.0
6.3,-0.0027,-0.0025,0.001953,0.019775,0.0,0.0
6.4,-0.0034,-0.0028,0.002011,0.019672,0.0,0.0
6.5,-0.0032,-0.0028,0.002059,0.019574,0.0,0.0
6.61,-0.0028,-0.0028,0.0021,0.01947,0.0,0.0
6.7,-0.0033,-0.0031,0.002126,0.019394,0.0,0.0
6.8,-0.0039,-0.0034,0.002147,0.019314,0.0,0.0
6.9,-0.0027,-0.0032,0.002159,0.019232,0.0,0.0
7.0,-0.005,-0.0033,0.002164,0.019158,0.0,0.0
7.1,-0.0028,-0.0037,0.002162,0.019085,0.0,0.0
7.2,-0.0031,-0.0031,0.002152,0.019015,0.0,0.0
7.3,-0.0059,-0.0035,0.002137,0.018961,0.0,0.0
7.4,-0.0027,-0.0032,0.002115,0.018897,0.0,0.0
7.5,-0.0027,-0.0032,0.002087,0.018839,0.0,0.0
7.6,-0.0017,-0.0033,0.002055,0.018803,0.0,0.0
7.7,-0.0029,-0.0032,0.002019,0.018774,0.0,0.0
7.8,0.0006,-0.0027,0.001981,0.018747,0.0,0.0
7.9,-0.0041,-0.0029,0.001939,0.018737,0.0,0.0
8.0,0.001,-0.001,0.001899,0.018723,0.0,0.0
8.1,-0.0005,0.0005,0.001856,0.01872,0.000359,0.00536
8.2,0.0004,-0.0004,0.001815,0.018753,0.000808,0.00804
8.3,-0.0004,0.0004,0.001777,0.018784,0.002244,0.0134
8.4,-0.0004,0.0004,0.001742,0.018812,0.003232,0.01608
8.5,-0.0005,0.0005,0.001711,0.018839,0.005746,0.02144
8.6,-0.0007,0.0007,0.001681,0.018863,0.007272,0.02412
8.7,0.0006,-0.0006,0.001654,0.018886,0.010863,0.02948
8.8,-0.0003,0.0003,0.001629,0.018908,0.012928,0.03216
8.9,-0.0001,0.0001,0.001607,0.018928,0.017597,0.03752
9.0,-0.0003,0.0003,0.001586,0.018946,0.020201,0.0402
9.1,0.0007,-0.0007,0.001567,0.018963,0.025946,0.04556
9.2,0.0003,-0.0003,0.00155,0.018979,0.029089,0.04824
9.3,-0.0001,0.0001,0.001534,0.018993,0.035912,0.0536
9.4,0.0001,-0.0001,0.001519,0.019006,0.039593,0.05628
9.5,-0.0,0.0,0.001506,0.019018,0.047494,0.06164
9.6,-0.0008,0.0008,0.001494,0.019029,0.051713,0.06432
9.7,0.001,-0.001,0.001483,0.019039,0.060691,0.06968
9.8,-0.0005,0.0005,0.001473,0.019048,0.06545,0.07236
9.9,0.0007,-0.0007,0.001464,0.019056,0.075505,0.07772
10.0,0.0003,-0.0003,0.001455,0.019064,0.080802,0.0804
10.1,-0.0005,0.0005,0.001447,0.01907,0.091935,0.08576
10.2,-0.0001,0.0001,0.00144,0.019076,0.09777,0.08844
10.3,-0.0001,0.0001,0.001434,0.019081,0.109981,0.0938
10.4,-0.0003,0.0003,0.001427,0.019086,0.116355,0.09648
10.5,0.0004,-0.0004,0.001422,0.01909,0.129642,0.10184
10.6,-0.0004,0.0004,0.001416,0.019093,0.136555,0.10452
10.7,0.0,-0.0,0.001411,0.019097,0.15092,0.10988
10.8,0.0002,-0.0002,0.001407,0.0191,0.158372,0.11256
10.9,0.0004,-0.0004,0.001402,0.019103,0.173814,0.11792
11.0,1.3897,1.3903,0.001398,0.019105,0.181805,0.1206
11.1,1.3896,1.3904,0.00174,0.032844,0.198324,0.12596
11.2,1.3912,1.3888,0.004455,0.059063,0.206853,0.12864
11.3,1.3911,1.3889,0.00973,0.08304,0.22445,0.134
11.4,1.3906,1.3894,0.01713,0.104132,0.233518,0.13668
11.5,1.3908,1.3892,0.026606,0.123105,0.252192,0.14204
11.6,1.394,1.386,0.037866,0.139867,0.261798,0.14472
11.7,1.3928,1.3872,0.050698,0.154582,0.2817,0.15012
11.8,1.3943,1.3857,0.064905,0.167427,0.291695,0.15276
11.9,1.3953,1.3847,0.08031,0.178585,0.312524,0.15812
12.0,1.3953,1.3847,0.096584,0.188145,0.323208,0.1608
12.1,1.4015,1.3785,0.113706,0.192412,0.345114,0.16616
12.2,1.4003,1.3797,0.131429,0.200057,0.356337,0.16884
12.3,1.4019,1.3781,0.149859,0.206588,0.379321,0.1742
12.4,1.4043,1.3757,0.168891,0.212152,0.391082,0.17688
