TIME,INPUT_thr1,INPUT_thr2,OUTPUT_pos,OUTPUT_vel,GOAL_pos,GOAL_vel
0.0,0.0352,0.0365,0.0,0.0,0.0,0.0
0.1,0.034,0.0326,-0.002127,0.00224,0.0,0.0
0.2,0.0342,0.032,-0.003931,0.004344,0.0,0.0
0.3,0.033,0.0345,-0.005552,0.006282,0.0,0.0
0.4,0.0706,0.0647,-0.006987,0.008076,0.0,0.0
0.5,0.0639,0.0574,-0.008238,0.010115,0.0,0.0
0.6,0.031,0.0343,-0.009272,0.012218,0.0,0.0
0.7,0.0859,0.0814,-0.010117,0.013792,0.0,0.0
0.8,0.0238,0.0374,-0.010814,0.015572,0.0,0.0
0.9,0.0594,0.0603,-0.011321,0.017079,0.0,0.0
1.0,0.0593,0.0601,-0.011711,0.018329,0.0,0.0
1.1,0.0674,0.0375,-0.01196,0.019752,0.0,0.0
1.2,0.0452,0.0421,-0.012075,0.020989,0.0,0.0
1.3,0.0281,0.0227,-0.012078,0.021976,0.0,0.0
1.4,0.0442,0.0473,-0.011998,0.022614,0.0,0.0
1.5,0.0477,0.0483,-0.011862,0.023273,0.0,0.0
1.6,0.1181,0.0773,-0.011648,0.024089,0.0,0.0
1.7,-0.0165,0.0233,-0.011339,0.025421,0.0,0.0
1.8,0.0286,0.0404,-0.010896,0.026028,0.0,0.0
1.9,0.0585,0.066,-0.010451,0.026128,0.0,0.0
2.0,0.0369,0.0409,-0.009965,0.026811,0.0,0.0
2.1,0.0427,0.0606,-0.009407,0.027419,0.0,0.0
2.2,0.0246,0.0279,-0.008791,0.027928,0.0,0.0
2.3,0.0338,0.0344,-0.008131,0.028227,0.0,0.0
2.4,0.0427,0.0447,-0.007457,0.028369,0.0,0.0
2.5,0.0219,0.0176,-0.006762,0.028677,0.0,0.0
2.6,0.0144,0.0153,-0.006037,0.02878,0.0,0.0
2.7,0.0326,0.0554,-0.005321,0.028613,0.0,0.0
2.8,0.0295,0.0244,-0.004616,0.028737,0.0,0.0
2.9,0.0243,0.0178,-0.003883,0.028918,0.0,0.0
3.0,0.0022,0.0047,-0.003147,0.02887,0.0,0.0
3.1,0.0328,0.0201,-0.002425,0.028577,0.0,0.0
3.2,0.0272,0.0153,-0.001737,0.028401,0.0,0.0
3.3,0.0017,-0.0011,-0.00105,0.028386,0.0,0.0
3.4,0.0118,0.0025,-0.000376,0.028091,0.0,0.0
3.5,0.0234,0.0161,0.000257,0.02771,0.0,0.0
3.6,0.0113,0.007,0.000862,0.027555,0.0,0.0
3.7,0.0119,0.0049,0.001458,0.027405,0.0,0.0
3.8,0.0035,-0.0047,0.002032,0.027161,0.0,0.0
3.9,0.0086,0.0045,0.002579,0.026826,0.0,0.0
4.0,0.0181,0.0144,0.003089,0.026516,0.0,0.0
4.1,-0.0053,-0.0053,0.003578,0.026399,0.0,0.0
4.2,0.0025,0.0026,0.004055,0.02614,0.0,0.0
4.3,0.003,0.0045,0.004495,0.025792,0.0,0.0
4.4,0.0159,0.0182,0.004907,0.025551,0.0,0.0
4.5,-0.0141,-0.0114,0.005301,0.025487,0.0,0.0
4.6,0.0022,0.0044,0.005688,0.025212,0.0,0.0
4.7,0.0014,0.0049,0.006034,0.024874,0.0,0.0
4.8,0.0199,0.0202,0.006358,0.024701,0.0,0.0
4.9,0.0361,0.0154,0.00667,0.024727,0.0,0.0
5.0,-0.0056,0.0001,0.006999,0.024962,0.0,0.0
5.1,-0.0101,-0.0015,0.007345,0.024915,0.0,0.0
5.2,0.0019,0.0034,0.007666,0.024588,0.0,0.0
5.3,0.003,0.028,0.007956,0.024352,0.0,0.0
5.4,-0.0126,0.0019,0.008234,0.024353,0.0,0.0
5.5,-0.0051,-0.0081,0.008514,0.02424,0.0,0.0
5.6,-0.0185,-0.0138,0.008768,0.023933,0.0,0.0
5.7,-0.0117,0.0283,0.008989,0.023532,0.0,0.0
5.8,0.0176,0.0159,0.009171,0.023348,0.0,0.0
5.9,-0.0151,-0.0183,0.009357,0.023486,0.0,0.0
6.0,-0.0533,-0.0311,0.00955,0.023314,0.0,0.0
6.1,-0.0015,-0.0064,0.009696,0.022577,0.0,0.0
6.2,-0.0116,-0.0232,0.009764,0.022085,0.0,0.0
6.3,-0.0058,-0.0169,0.009808,0.021822,0.0,0.0
6.41,0.0149,0.0017,0.009819,0.0215,0.0,0.0
6.5,-0.0127,-0.0227,0.00981,0.021497,0.0,0.0
6.6,0.0004,-0.0095,0.009806,0.021378,0.0,0.0
6.7,-0.0077,-0.0189,0.009775,0.021177,0.0,0.0
6.8,0.0021,-0.0103,0.009732,0.02101,0.0,0.0
6.9,-0.0103,-0.0162,0.009669,0.020881,0.0,0.0
7.0,-0.0058,-0.012,0.009598,0.020739,0.0,0.0
7.1,-0.004,-0.0087,0.009508,0.020575,0.0,0.0
7.2,-0.0063,-0.0099,0.009406,0.020488,0.0,0.0
7.3,0.0022,-0.0,0.009296,0.02041,0.0,0.0
7.4,-0.0118,-0.0093,0.00918,0.020426,0.0,0.0
7.5,-0.0055,-0.005,0.00907,0.02039,0.0,0.0
7.6,0.0621,0.0291,0.008949,0.020315,0.0,0.0
7.7,-0.0317,0.0015,0.008841,0.020867,0.0,0.0
7.8,0.0003,-0.0008,0.008802,0.021134,0.0,0.0
7.9,-0.0197,-0.0131,0.008751,0.021026,0.0,0.0
8.0,0.0092,0.0189,0.008696,0.020875,0.0,0.0
8.1,0.001,-0.001,0.008623,0.020922,0.0,0.0
8.2,-0.0057,0.0057,0.008573,0.021088,9e-05,0.00268
8.3,-0.0016,0.0016,0.008529,0.02112,0.000808,0.00804
8.4,-0.001,0.001,0.008488,0.021152,0.001436,0.01072
8.5,-0.0016,0.0016,0.00845,0.021181,0.003232,0.01608
8.6,-0.0009,0.0009,0.008415,0.021209,0.004399,0.01876
8.7,0.0004,-0.0004,0.008382,0.021235,0.007272,0.02412
8.8,0.0185,-0.0185,0.008352,0.02126,0.009005,0.02684
8.9,-0.0182,0.0182,0.008325,0.021282,0.012928,0.03216
9.0,0.0014,-0.0014,0.0083,0.021304,0.015173,0.03484
9.1,-0.002,0.002,0.008277,0.021323,0.020241,0.04024
9.2,-0.0015,0.0015,0.008256,0.021339,0.022984,0.04288
9.3,0.0073,-0.0073,0.008235,0.021356,0.029089,0.04824
9.4,-0.0074,0.0074,0.008217,0.02137,0.032411,0.05092
9.5,0.0024,-0.0024,0.0082,0.021384,0.039593,0.05628
9.6,-0.0008,0.0008,0.008185,0.021397,0.043454,0.05896
9.7,0.0034,-0.0034,0.00817,0.021406,0.051713,0.06432
9.8,-0.0007,0.0007,0.008157,0.021414,0.056113,0.067
9.9,0.0002,-0.0002,0.008144,0.021421,0.06545,0.07236
10.0,0.0002,-0.0002,0.008132,0.021427,0.070388,0.07504
10.1,-0.0071,0.0071,0.00812,0.021432,0.080802,0.0804
10.2,0.0051,-0.0051,0.008109,0.021438,0.086279,0.08308
10.3,0.0014,-0.0014,0.008098,0.021443,0.09777,0.08844
10.4,-0.0059,0.0059,0.008088,0.021448,0.103786,0.09112
10.5,0.0025,-0.0025,0.008079,0.021453,0.116355,0.09648
10.6,-0.0088,0.0088,0.00807,0.021458,0.122909,0.09916
10.7,-0.0098,0.0098,0.008061,0.021464,0.136555,0.10452
10.8,0.002,-0.002,0.008053,0.021469,0.143648,0.1072
10.9,0.0199,-0.0199,0.008046,0.021473,0.158372,0.11256
11.0,0.0065,-0.0065,0.008039,0.021477,0.166003,0.11524
11.1,1.4019,1.3781,0.008032,0.021482,0.181805,0.1206
11.2,1.3952,1.3848,0.008461,0.03691,0.189974,0.12328
11.3,1.3887,1.3913,0.011346,0.063266,0.206853,0.12864
11.4,1.3898,1.3902,0.016755,0.087375,0.215562,0.13132
11.5,1.3859,1.3941,0.02446,0.109221,0.233518,0.13668
11.6,1.3946,1.3854,0.034236,0.128846,0.242765,0.13936
11.7,1.3909,1.3891,0.045867,0.14634,0.261798,0.14472
11.8,1.391,1.389,0.059145,0.161829,0.271584,0.1474
11.9,1.3904,1.3896,0.073876,0.175459,0.291695,0.15276
12.0,1.3936,1.3864,0.089884,0.18739,0.30202,0.15544
12.1,1.4016,1.3784,0.106782,0.193008,0.323208,0.1608
