TIME,INPUT_thr1,INPUT_thr2,OUTPUT_pos,OUTPUT_vel,GOAL_pos,GOAL_vel
0.0,-0.0113,-0.0091,0.0,0.0,0.0,0.0
0.1,-0.003,-0.0046,-0.001875,0.001597,0.0,0.0
0.2,-0.0019,-0.0018,-0.003528,0.003013,0.0,0.0
0.3,0.0003,0.0005,-0.005057,0.004419,0.0,0.0
0.4,0.0018,0.0033,-0.00645,0.005729,0.0,0.0
0.5,0.0062,0.0055,-0.007716,0.006958,0.0,0.0
0.6,0.0086,0.0086,-0.008863,0.008115,0.0,0.0
0.7,0.0102,0.009,-0.009897,0.009227,0.0,0.0
0.8,0.0117,0.011,-0.010831,0.010296,0.0,0.0
0.9,0.0139,0.0136,-0.011645,0.011267,0.0,0.0
1.0,0.0145,0.0144,-0.01238,0.012205,0.0,0.0
1.1,0.0164,0.0156,-0.01301,0.013081,0.0,0.0
1.2,0.017,0.0168,-0.013562,0.013903,0.0,0.0
1.3,0.0175,0.0177,-0.014034,0.01468,0.0,0.0
1.4,0.0174,0.018,-0.014431,0.015405,0.0,0.0
1.5,0.0189,0.0193,-0.014758,0.016078,0.0,0.0
1.6,0.0183,0.0185,-0.01502,0.016696,0.0,0.0
1.7,0.0196,0.0196,-0.015223,0.017283,0.0,0.0
1.8,0.0191,0.0195,-0.015369,0.017809,0.0,0.0
1.9,0.0197,0.0197,-0.015465,0.01831,0.0,0.0
2.0,0.0214,0.0202,-0.015513,0.018762,0.0,0.0
2.1,0.0191,0.0195,-0.015517,0.019184,0.0,0.0
2.2,0.0194,0.0193,-0.01548,0.019585,0.0,0.0
2.3,0.0181,0.0185,-0.015406,0.019924,0.0,0.0
2.4,0.0181,0.0183,-0.015299,0.020232,0.0,0.0
2.5,0.0175,0.0188,-0.015165,0.020494,0.0,0.0
2.6,0.0173,0.0173,-0.015005,0.020731,0.0,0.0
2.7,0.0164,0.0163,-0.014823,0.020941,0.0,0.0
2.8,0.0165,0.016,-0.014622,0.021116,0.0,0.0
2.9,0.0154,0.0148,-0.014405,0.021256,0.0,0.0
3.0,0.0146,0.0143,-0.014175,0.021379,0.0,0.0
3.1,0.0135,0.0132,-0.013935,0.021468,0.0,0.0
3.2,0.0127,0.0128,-0.013686,0.021535,0.0,0.0
3.3,0.0205,0.021,-0.013432,0.021574,0.0,0.0
3.4,0.015,0.0136,-0.013176,0.021617,0.0,0.0
3.5,0.0132,0.0125,-0.012907,0.021778,0.0,0.0
3.6,0.0112,0.0112,-0.012629,0.021808,0.0,0.0
3.7,0.0119,0.0109,-0.012351,0.021806,0.0,0.0
3.8,0.0107,0.0103,-0.012076,0.021775,0.0,0.0
3.9,0.0102,0.0096,-0.011799,0.021748,0.0,0.0
4.0,0.0098,0.0092,-0.011528,0.021707,0.0,0.0
4.1,0.0106,0.0093,-0.011262,0.021658,0.0,0.0
4.2,0.0073,0.0075,-0.011001,0.021607,0.0,0.0
4.3,0.0102,0.0092,-0.010744,0.021563,0.0,0.0
4.4,0.0055,0.0061,-0.010494,0.021484,0.0,0.0
4.5,0.0054,0.0067,-0.010249,0.021443,0.0,0.0
