TIME,INPUT,INPUT,OUTPUT,OUTPUT,GOALS,GOALS
TIME,thruster1,thruster2,position,velocity,des_pos,des_vel
0.0,0.1338,0.1288,0.0,0.0,0.0,0.0
0.1,0.1378,0.1363,-0.003039,0.003962,0.0,0.0
0.2,0.1475,0.1466,-0.005495,0.007662,0.0,0.0
0.3,0.137,0.1394,-0.007582,0.011371,0.0,0.0
0.4,0.1498,0.1471,-0.009299,0.014972,0.0,0.0
0.5,0.1481,0.1487,-0.010667,0.018438,0.0,0.0
0.6,0.1623,0.1559,-0.011687,0.021894,0.0,0.0
0.7,0.1491,0.1499,-0.01236,0.025295,0.0,0.0
0.8,0.1472,0.1485,-0.012698,0.028684,0.0,0.0
0.9,0.1446,0.1467,-0.01271,0.031808,0.0,0.0
1.0,0.1534,0.1519,-0.012416,0.034793,0.0,0.0
1.1,0.1387,0.1407,-0.011829,0.037715,0.0,0.0
1.2,0.14,0.14,-0.010952,0.040495,0.0,0.0
1.3,0.1344,0.1336,-0.0098,0.04306,0.0,0.0
1.4,0.1282,0.1297,-0.00844,0.045406,0.0,0.0
1.5,0.122,0.1218,-0.006809,0.047617,0.0,0.0
1.6,0.1177,0.1185,-0.004983,0.049599,0.0,0.0
1.7,0.1092,0.1095,-0.002971,0.051387,0.0,0.0
1.8,0.1062,0.1056,-0.000788,0.052979,0.0,0.0
1.9,0.0959,0.0962,0.001543,0.054376,0.0,0.0
2.0,0.091,0.0897,0.00398,0.055575,0.0,0.0
2.1,0.0796,0.0821,0.006577,0.056583,0.0,0.0
2.2,0.0771,0.0759,0.00924,0.057387,0.0,0.0
2.3,0.0684,0.0661,0.011972,0.058011,0.0,0.0
2.4,0.0626,0.0616,0.01476,0.058476,0.0,0.0
2.5,0.0533,0.0515,0.017585,0.05877,0.0,0.0
2.6,0.047,0.0464,0.020432,0.058909,0.0,0.0
2.7,0.0394,0.0383,0.023284,0.058881,0.0,0.0
2.8,0.0334,0.0321,0.026127,0.058719,0.0,0.0
2.9,0.0257,0.023,0.028946,0.058419,0.0,0.0
3.0,0.0185,0.0193,0.031729,0.057992,0.0,0.0
3.1,0.0107,0.0104,0.034463,0.057438,0.0,0.0
3.2,0.0063,0.0051,0.037136,0.056771,0.0,0.0
3.3,-0.0021,-0.0019,0.03971,0.056004,0.0,0.0
3.4,-0.005,-0.0065,0.042254,0.055128,0.0,0.0
3.5,-0.0135,-0.0137,0.04468,0.054175,0.0,0.0
3.6,-0.0182,-0.0167,0.047008,0.053148,0.0,0.0
3.7,-0.0255,-0.0232,0.049228,0.052039,0.0,0.0
3.8,-0.0276,-0.0267,0.051315,0.050879,0.0,0.0
3.9,-0.0329,-0.0328,0.053321,0.049637,0.0,0.0
4.0,-0.0373,-0.0354,0.055183,0.04837,0.0,0.0
4.1,-0.0416,-0.04,0.056915,0.047055,0.0,0.0
4.2,-0.0433,-0.0434,0.058514,0.045707,0.0,0.0
4.3,-0.0483,-0.0468,0.059977,0.044335,0.0,0.0
4.4,-0.0498,-0.0494,0.061301,0.042945,0.0,0.0
4.5,-0.053,-0.0523,0.062486,0.041538,0.0,0.0
4.6,-0.0539,-0.0549,0.06353,0.040127,0.0,0.0
4.7,-0.0538,-0.0559,0.064432,0.038713,0.0,0.0
4.8,-0.0582,-0.0562,0.065194,0.037322,0.0,0.0
4.91,-0.0579,-0.0592,0.065873,0.035812,0.0,0.0
5.0,-0.0592,-0.0595,0.066305,0.034583,0.0,0.0
5.1,-0.0555,-0.0582,0.066659,0.033225,0.0,0.0
5.2,-0.0579,-0.0583,0.066876,0.031937,0.0,0.0
5.3,-0.0613,-0.0587,0.066968,0.030717,0.0,0.0
5.4,-0.0603,-0.0584,0.066939,0.029492,0.0,0.0
5.5,-0.0582,-0.0572,0.066788,0.02829,0.0,0.0
5.6,-0.0544,-0.0553,0.066523,0.02716,0.0,0.0
5.7,-0.057,-0.0568,0.066141,0.026088,0.0,0.0
5.8,-0.0468,-0.0485,0.06566,0.025078,0.0,0.0
5.9,-0.0507,-0.0494,0.06508,0.024164,0.0,0.0
6.0,-0.0485,-0.0478,0.064424,0.023371,0.0,0.0
6.1,-0.0468,-0.0463,0.063674,0.022579,0.0,0.0
6.2,-0.0428,-0.0423,0.062856,0.02186,0.0,0.0
