rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
16931000000,,128,,16,928000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1571829767552782, 0.15567821988888325, 0.009368864400000551, 0.011073048592663622]"
17029000000,,129,,17,28000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.16683490672934423, 0.16218701318365572, 0.0074602595996627755, 0.012724144341866826]"
17129000000,,130,,17,129000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1769991973118613, 0.17929271976483757, 0.008374187984552329, 0.005776702106821037]"
17230000000,,131,,17,229000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.17811387001553203, 0.18226104198045517, 0.009783145647920533, 0.005086343749411975]"
17330000000,,132,,17,329000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.17883028228296746, 0.17514091855201555, 0.006121826188030959, 0.010300145949638587]"
17430000000,,133,,17,428000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.18144208238542678, 0.18599241468673575, 0.00885307773707647, 0.0036996841540764274]"
17529000000,,134,,17,528000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1894058075424422, 0.18412760187380642, 0.0016540961751172188, 0.007631829101276856]"
17628000000,,135,,17,628000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1847403327445476, 0.18548411998460057, 0.005520962828486355, 0.004678600526967485]"
17729000000,,136,,17,728000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.18654964129848145, 0.1836076644775682, 0.0017673706444564234, 0.005099251365754067]"
17828000000,,137,,17,828000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.18812182201528235, 0.18877443537283803, 0.0005874124784860247, -0.00015169255084117623]"
17929000000,,138,,17,929000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1783010205796675, 0.17854145875218824, 0.003202999631028561, 0.002930695884108741]"
18029000000,,139,,18,28000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.16733067263734164, 0.18556179176015686, 0.010245995919608222, -0.010401316425338326]"
18129000000,,140,,18,128000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.17410645453096427, 0.16398407165002313, -0.0034566902518810894, 0.008007224805115074]"
18229000000,,141,,18,229000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.17249578307192118, 0.16467146964207055, -0.0066097205840012635, 0.00225155897775171]"
18329000000,,142,,18,328000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.15450932739578097, 0.16315700714745598, 0.0046377488856272076, -0.00515601877553939]"
18428000000,,143,,18,428000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1486096000601671, 0.15510238889225764, 0.0017766922225462643, -0.005576594106332288]"
18529000000,,144,,18,528000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.14828443512058043, 0.14224324536983146, -0.006650093995935408, 0.00019174225550487112]"
18629000000,,145,,18,628000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.13639221699127693, 0.1300773534726868, -0.006830425131680977, 0.00032135521738539067]"
18729000000,,146,,18,729000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.1261824171419922, 0.13987042736423638, 0.001947199555831453, -0.01355489993326757]"
18828000000,,147,,18,828000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.13360814246410607, 0.12008299288353685, -0.016498312370746882, -0.0011806576496683442]"
18928000000,,148,,18,928000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.10654862860827553, 0.09868317640944997, -0.008048654175999502, 0.0008592163276912425]"
19028000000,,149,,19,28000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.09861617528865622, 0.09608928938392068, -0.006773810235897698, -0.003912032953677769]"
19129000000,,150,,19,128000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.09426986788649286, 0.09417620321987075, -0.007586486614100958, -0.007480408451021439]"
19228000000,,151,,19,228000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.07854850799439722, 0.08258965000206492, -0.004714712945230862, -0.009291432602455877]"
19329000000,,152,,19,329000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.090524100506538, 0.08381875241545617, -0.017364460992556074, -0.009770444657875953]"
19429000000,,153,,19,428000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.05520438502719289, 0.05253230977797586, -0.0070013117540776255, -0.003975103000346141]"
19528000000,,154,,19,528000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.039191815307667785, 0.041017743262888054, -0.004394559728384635, -0.006462480219542113]"
19628000000,,155,,19,628000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.04919984322161021, 0.04993051108478336, -0.011393330474217159, -0.012220834671283754]"
19732000000,,156,,19,731000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03767404532242758, 0.030154997166987767, -0.012560494419534558, -0.0040449373242065064]"
19830000000,,157,,19,829000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.034895872687876715, 0.03780923807132092, -0.009958752382262685, -0.013258229756180403]"
19928000000,,158,,19,928000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.01502581333935982, 0.013018242391733763, -0.010005084193368173, -0.007731447334816686]"
20028000000,,159,,20,28000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.010154770610438317, 0.004458886194900825, -0.013169060056428305, -0.006718292891995688]"
20129000000,,160,,20,129000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03505600133503438, 0.008624330754537125, -0.02706996080314004, 0.0028647324319721855]"
20228000000,,161,,20,228000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.05762645679739914, -0.039717280088687246, 0.009444236628277088, -0.010838465868184703]"
20328000000,,162,,20,328000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.006492264644628264, -0.005936377870717965, -0.009993924000558936, -0.010623483150056626]"
20429000000,,163,,20,428000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.02774839808422231, -0.024878889551713093, -0.008685616095326082, -0.011935424214514006]"
20529000000,,164,,20,529000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.03201903516912639, -0.0316842380182483, -0.008323878519231652, -0.008703046758976587]"
20629000000,,165,,20,628000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.04172832470792735, -0.0375390889026844, -0.0052660270508352, -0.01001046756349905]"
20729000000,,166,,20,729000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.06095450541819132, -0.05958846581186229, -0.0046788922832204215, -0.006225974842301854]"
20829000000,,167,,20,828000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.0047887932385776944, -0.00508293480308307, -0.019804864673072974, -0.01947174015586364]"
20929000000,,168,,20,928000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.052309262638328406, -0.04827522380811491, -0.0068973831516593335, -0.011466058238359066]"
21029000000,,169,,21,28000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.05959335552283066, -0.05641191528289908, -0.006816246473055431, -0.010419327002458808]"
21129000000,,170,,21,128000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.05052373273098307, -0.04987828632100792, -0.010663059571933522, -0.011394047809073807]"
21228000000,,171,,21,228000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.08474379228662088, -0.08027542320260694, -0.002967971009012227, -0.008028538686104538]"
21328000000,,172,,21,328000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.10080507867303953, -0.09491092389263364, 0.00034523595287276913, -0.006330078598070058]"
21429000000,,173,,21,429000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.03914073708958938, -0.040922065288268715, -0.015408399451091846, -0.013390989578487505]"
21529000000,,174,,21,528000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.13120898626178581, -0.12024327905375212, 0.010528231241084825, -0.001890774980215162]"
21628000000,,175,,21,628000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.07966935545924221, -0.07568900980567507, -0.003740631545854608, -0.00824849743145476]"
21728000000,,176,,21,728000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.08345396533477467, -0.08245073529380884, -0.003485989563487707, -0.0046221789477001425]"
21829000000,,177,,21,829000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.0867630894586805, -0.08815457801987456, -0.005194867792037495, -0.00361896349599021]"
21929000000,,178,,21,928000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.12090758149822663, -0.11988528440426317, 0.003720159879632802, 0.0025623764618293533]"
22029000000,,179,,22,29000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.09071203196253151, -0.09175828252262945, -0.00317902848460205, -0.0019941170175718434]"
22129000000,,180,,22,129000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.08945272001298518, -0.09296392487148486, -0.0041193637386774465, -0.00014281446969643388]"
22228000000,,181,,22,228000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.08863310610667757, -0.08657272036463215, -0.0003797858455281463, -0.002713237109847302]"
22329000000,,182,,22,328000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.0918037598712457, -0.09233648777121331, 2.1450447000696067e-05, 0.0006247814477692282]"
