rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
17990000000,,139,,17,990000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03520084685313414, 0.036456569856663276, -0.0031206348894281992, -0.00454278044713859]"
18090000000,,140,,18,90000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03398564257051129, 0.03260367259648861, 0.002545122516540767, 0.004110246715047877]"
18191000000,,141,,18,191000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03423632056267642, 0.03196054565646919, 0.0034104081327705174, 0.0059877943589648625]"
18291000000,,142,,18,290000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03304914147141365, 0.034480556371304386, 0.00567510107721602, 0.004053978954423882]"
18391000000,,143,,18,390000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.0705750083743389, 0.06471822762835226, -0.022302354834454512, -0.015669367545872646]"
18490000000,,144,,18,490000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.06385820002527988, 0.057388288383538835, -0.012500246264294105, -0.005172869068669412]"
18591000000,,145,,18,590000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03103959184236834, 0.03427271441244017, 0.006456193608521555, 0.002794581224549527]"
18691000000,,146,,18,690000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.08585129471919378, 0.08139186561443038, -0.038060765525500376, -0.033010322654389496]"
18791000000,,147,,18,791000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.023786926598300617, 0.0373904767450908, 0.018951610908299343, 0.0035451650950294837]"
18891000000,,148,,18,890000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.05937342684063023, 0.06029488431878063, -0.011852813842262703, -0.012896393242725753]"
18991000000,,149,,18,990000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.05933637481420143, 0.06014116511907907, -0.012311900442660232, -0.0132233506221612]"
19091000000,,150,,19,90000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.06737409912822846, 0.0374627972598026, -0.013522923303489177, 0.020352561144884367]"
19190000000,,151,,19,190000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.04517338917150211, 0.04209422770021344, -0.0029022869202644298, 0.00058495970622818]"
19291000000,,152,,19,290000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.028100790497503195, 0.022668493638555397, 0.012216866256682196, 0.018369112273044545]"
19391000000,,153,,19,390000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.044202018947997246, 0.0472799138798434, -0.0037107025875497174, -0.007196514818529325]"
19493000000,,154,,19,492000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.047671918857941406, 0.04825322942947166, -0.003952077137225303, -0.0046104295323223235]"
19590000000,,155,,19,590000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.11811695682810283, 0.0772559956511, -0.054522833140259894, -0.008246517218407995]"
19690000000,,156,,19,690000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[-0.01649427816543543, 0.02330156018445355, 0.03663768516298031, -0.008432345859464053]"
19791000000,,157,,19,790000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.02856669705561434, 0.040352653395094314, 0.0030383446237872975, -0.010309619381374036]"
19890000000,,158,,19,890000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.05852530901724528, 0.06596926128974744, -0.024786059049196014, -0.033216567709461575]"
19991000000,,159,,19,991000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.03688395926207791, 0.04091044017713334, -0.0026797524066380202, -0.007239867918146896]"
20092000000,,160,,20,91000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.042686088294940035, 0.06058204595599801, -0.010380008785997695, -0.030647740297739652]"
20190000000,,161,,20,190000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.024581226778368683, 0.02792285992524558, 0.003120519024839114, -0.0006639849796051178]"
20291000000,,162,,20,291000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.033822221268134466, 0.03442989315381224, -0.005913857189080827, -0.006602064596553143]"
20391000000,,163,,20,390000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.04271349406174614, 0.04468051701581109, -0.01306371824013831, -0.0152914332283769]"
20490000000,,164,,20,490000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.021945652104047902, 0.01764739663072137, -0.0019700436903585493, 0.0028978650045655375]"
20591000000,,165,,20,590000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.014402376478690554, 0.015334213631409094, 0.003331701509587783, 0.0022763668031885636]"
20691000000,,166,,20,690000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.032568922435054236, 0.05535719279141358, -0.0076179947878505724, -0.03342642336972589]"
20791000000,,167,,20,791000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.02945981514107495, 0.024425017408368138, -0.010475773884906461, -0.004773708055566754]"
20891000000,,168,,20,890000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.024305857906755112, 0.017793296859094202, -0.007558225434729633, -0.00018254645360172694]"
20990000000,,169,,20,990000000,'',"[x_thr_left, x_thr_right, y_thr_left, y_thr_right]",[],[],"[0.0022448065819405533, 0.0046745212839265455, 0.005522467761415802, 0.002770739904060503]"
