rosbagTimestamp,layout,dim,data_offset,data
22288000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22332000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22334000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22375000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22393000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22437000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22479000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22522000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22568000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22570000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22609000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0]"
22630000000,,[],0,"[1.0, -0.5999768799999999, -0.6, 0.0, 0.0013599999999999567, 0.0, 0.0, 0.04, 0.0]"
22674000000,,[],0,"[1.0, -0.59990752, -0.6, 0.0, 0.0027200000000000557, 0.0, 0.0, 0.04, 0.0]"
22717000000,,[],0,"[1.0, -0.5997919199999999, -0.6, 0.0, 0.0040800000000000124, 0.0, 0.0, 0.04, 0.0]"
22759000000,,[],0,"[1.0, -0.59963008, -0.6, 0.0, 0.005439999999999969, 0.0, 0.0, 0.04, 0.0]"
22800000000,,[],0,"[1.0, -0.599422, -0.6, 0.0, 0.006800000000000068, 0.0, 0.0, 0.04, 0.0]"
22843000000,,[],0,"[1.0, -0.59916768, -0.6, 0.0, 0.008160000000000025, 0.0, 0.0, 0.04, 0.0]"
22844000000,,[],0,"[1.0, -0.59886712, -0.6, 0.0, 0.009519999999999982, 0.0, 0.0, 0.04, 0.0]"
22889000000,,[],0,"[1.0, -0.59852032, -0.6, 0.0, 0.010879999999999938, 0.0, 0.0, 0.04, 0.0]"
22902000000,,[],0,"[1.0, -0.5981272799999999, -0.6, 0.0, 0.012240000000000037, 0.0, 0.0, 0.04, 0.0]"
22947000000,,[],0,"[1.0, -0.597688, -0.6, 0.0, 0.013599999999999994, 0.0, 0.0, 0.04, 0.0]"
22990000000,,[],0,"[1.0, -0.5971875, -0.6, 0.0, 0.015, 0.0, 0.0, 0.04, 0.0]"
