rosbagTimestamp,layout,dim,data_offset,data
20841000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20878000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20917000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20958000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21002000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21050000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21051000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21093000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21110000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21157000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21205000000,,[],0,"[1.0, -0.6, -0.6, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0]"
21248000000,,[],0,"[1.0, -0.5999768799999999, -0.6, 0.0, 0.0013599999999999567, 0.0, 0.0, 0.04, 0.0]"
21249000000,,[],0,"[1.0, -0.59990752, -0.6, 0.0, 0.0027199999999999135, 0.0, 0.0, 0.04, 0.0]"
21290000000,,[],0,"[1.0, -0.5997919199999999, -0.6, 0.0, 0.0040800000000000124, 0.0, 0.0, 0.04, 0.0]"
21313000000,,[],0,"[1.0, -0.59963008, -0.6, 0.0, 0.005439999999999969, 0.0, 0.0, 0.04, 0.0]"
21355000000,,[],0,"[1.0, -0.599422, -0.6, 0.0, 0.006799999999999926, 0.0, 0.0, 0.04, 0.0]"
21398000000,,[],0,"[1.0, -0.59916768, -0.6, 0.0, 0.008160000000000025, 0.0, 0.0, 0.04, 0.0]"
21440000000,,[],0,"[1.0, -0.59886712, -0.6, 0.0, 0.009519999999999982, 0.0, 0.0, 0.04, 0.0]"
21483000000,,[],0,"[1.0, -0.59852032, -0.6, 0.0, 0.010879999999999938, 0.0, 0.0, 0.04, 0.0]"
21526000000,,[],0,"[1.0, -0.5981272799999999, -0.6, 0.0, 0.012240000000000037, 0.0, 0.0, 0.04, 0.0]"
21527000000,,[],0,"[1.0, -0.597688, -0.6, 0.0, 0.013599999999999994, 0.0, 0.0, 0.04, 0.0]"
21569000000,,[],0,"[1.0, -0.59720248, -0.6, 0.0, 0.01495999999999995, 0.0, 0.0, 0.04, 0.0]"
21587000000,,[],0,"[1.0, -0.59667072, -0.6, 0.0, 0.016319999999999907, 0.0, 0.0, 0.04, 0.0]"
21627000000,,[],0,"[1.0, -0.59609272, -0.6, 0.0, 0.017680000000000008, 0.0, 0.0, 0.04, 0.0]"
21671000000,,[],0,"[1.0, -0.59546848, -0.6, 0.0, 0.019039999999999963, 0.0, 0.0, 0.04, 0.0]"
21711000000,,[],0,"[1.0, -0.594798, -0.6, 0.0, 0.02039999999999992, 0.0, 0.0, 0.04, 0.0]"
21752000000,,[],0,"[1.0, -0.5940595, -0.6, 0.0, 0.021799999999999927, 0.0, 0.0, 0.04, 0.0]"
21787000000,,[],0,"[1.0, -0.59331832, -0.6, 0.0, 0.023119999999999977, 0.0, 0.0, 0.04, 0.0]"
21827000000,,[],0,"[1.0, -0.59250912, -0.6, 0.0, 0.024479999999999932, 0.0, 0.0, 0.04, 0.0]"
21829000000,,[],0,"[1.0, -0.59162782, -0.6, 0.0, 0.025879999999999938, 0.0, 0.0, 0.04, 0.0]"
21867000000,,[],0,"[1.0, -0.5907519999999999, -0.6, 0.0, 0.027199999999999988, 0.0, 0.0, 0.04, 0.0]"
21892000000,,[],0,"[1.0, -0.5898040800000001, -0.6, 0.0, 0.028559999999999947, 0.0, 0.0, 0.04, 0.0]"
21933000000,,[],0,"[1.0, -0.58880992, -0.6, 0.0, 0.029920000000000044, 0.0, 0.0, 0.04, 0.0]"
21976000000,,[],0,"[1.0, -0.5877695199999999, -0.6, 0.0, 0.03128, 0.0, 0.0, 0.04, 0.0]"
22019000000,,[],0,"[1.0, -0.58668288, -0.6, 0.0, 0.03263999999999996, 0.0, 0.0, 0.04, 0.0]"
22062000000,,[],0,"[1.0, -0.58555, -0.6, 0.0, 0.03399999999999991, 0.0, 0.0, 0.04, 0.0]"
22103000000,,[],0,"[1.0, -0.5843708799999999, -0.6, 0.0, 0.035360000000000016, 0.0, 0.0, 0.04, 0.0]"
22105000000,,[],0,"[1.0, -0.58314552, -0.6, 0.0, 0.03671999999999997, 0.0, 0.0, 0.04, 0.0]"
22141000000,,[],0,"[1.0, -0.58187392, -0.6, 0.0, 0.038079999999999926, 0.0, 0.0, 0.04, 0.0]"
22164000000,,[],0,"[1.0, -0.5805560799999999, -0.6, 0.0, 0.039440000000000024, 0.0, 0.0, 0.04, 0.0]"
22202000000,,[],0,"[1.0, -0.579192, -0.6, 0.0, 0.04079999999999998, 0.0, 0.0, 0.04, 0.0]"
22243000000,,[],0,"[1.0, -0.5777816800000001, -0.6, 0.0, 0.04215999999999994, 0.0, 0.0, 0.04, 0.0]"
22286000000,,[],0,"[1.0, -0.5763251199999999, -0.6, 0.0, 0.04352000000000004, 0.0, 0.0, 0.04, 0.0]"
22330000000,,[],0,"[1.0, -0.57482232, -0.6, 0.0, 0.044879999999999996, 0.0, 0.0, 0.04, 0.0]"
22371000000,,[],0,"[1.0, -0.57327328, -0.6, 0.0, 0.046239999999999955, 0.0, 0.0, 0.04, 0.0]"
22372000000,,[],0,"[1.0, -0.5716780000000001, -0.6, 0.0, 0.04759999999999991, 0.0, 0.0, 0.04, 0.0]"
