time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.034,0.0,-0.000154,0.0,0.000142
0.077,0.0,-0.000311,0.0,0.000397
0.121,0.0,-0.00046,0.0,0.000659
0.163,0.0,-0.000594,0.0,0.000769
0.206,0.0,-0.000727,0.0,0.000884
0.207,0.0,-0.000733,0.0,0.00089
0.25,0.0,-0.000861,0.0,0.000818
0.265,0.0,-0.000908,0.0,0.000763
0.31,0.0,-0.001053,0.0,0.0006
0.354,0.0,-0.001199,0.0,0.000648
0.397,0.0,-0.001334,0.0,0.00076
0.446,0.0,-0.001488,0.0,0.000952
0.448,0.0,-0.001494,0.0,0.000962
0.488,0.0,-0.001608,0.0,0.001163
0.508,0.0,-0.001662,0.0,0.001263
0.54,0.0,-0.001744,0.0,0.001453
0.579,0.0,-0.001835,0.0,0.001711
0.626,0.0,-0.001933,0.0,0.002001
0.674,0.0,-0.00202,0.0,0.002097
0.675,0.0,-0.002022,0.0,0.002099
0.717,0.0,-0.002097,0.0,0.002185
0.742,0.0,-0.002138,0.0,0.002245
0.785,0.0,-0.002207,0.0,0.002356
0.829,0.0,-0.002273,0.0,0.00247
0.869,0.0,-0.002329,0.0,0.002582
0.907,0.0,-0.002377,0.0,0.002687
0.946,0.0,-0.002424,0.0,0.002821
0.948,0.0,-0.002426,0.0,0.002829
0.989,0.0,-0.002467,0.0,0.002979
1.014,0.0,-0.00249,0.0,0.00307
1.06,0.0,-0.002528,0.0,0.003062
1.109,0.0,-0.002571,0.0,0.003019
1.147,0.0,-0.002604,0.0,0.003094
1.189,0.0,-0.002636,0.0,0.003226
1.192,0.0,-0.002639,0.0,0.003238
1.233,0.0,-0.002663,0.0,0.003358
1.252,0.0,-0.002673,0.0,0.00341
1.291,0.0,-0.002691,0.0,0.003517
1.335,0.0,-0.002706,0.0,0.003626
1.379,0.0,-0.002717,0.0,0.003713
1.424,0.0,-0.002724,0.0,0.003792
1.425,0.0,-0.002724,0.0,0.003792
1.467,0.0,-0.002729,0.0,0.003819
1.491,0.0,-0.002731,0.0,0.003834
1.533,0.0,-0.002734,0.0,0.003816
1.575,0.0,-0.002741,0.0,0.003702
1.619,0.0,-0.002753,0.0,0.00358
1.661,0.0,-0.002766,0.0,0.003626
1.702,0.0,-0.002777,0.0,0.00368
1.704,0.0,-0.002777,0.0,0.003681
1.743,0.0,-0.002786,0.0,0.003704
1.762,0.0,-0.00279,0.0,0.003705
1.806,0.0,-0.002799,0.0,0.003707
1.848,0.0,-0.002808,0.0,0.003688
1.891,0.0,-0.002818,0.0,0.00366
1.937,0.0,-0.002831,0.0,0.003682
1.938,0.0,-0.002831,0.0,0.003684
1.983,0.0,-0.002838,0.0,0.003814
2.0,0.0,-0.00284,0.0,0.003863
2.046,0.0,-0.002837,0.0,0.004198
2.088,0.0,-0.002813,0.0,0.004705
2.131,0.0,-0.002769,0.0,0.00503
2.171,0.0,-0.00273,0.0,0.004773
2.174,0.0,-0.002727,0.0,0.004754
2.219,0.0,-0.002696,0.0,0.004468
2.239,0.0,-0.002685,0.0,0.004456
2.278,0.0,-0.002664,0.0,0.00447
2.322,0.0,-0.002639,0.0,0.004488
2.365,0.0,-0.002614,0.0,0.004534
2.406,2.3e-05,-0.002587,0.00136,0.004578
2.446,9.2e-05,-0.002549,0.00272,0.005449
2.448,0.000208,-0.002546,0.00408,0.005517
2.491,0.00037,-0.002445,0.00544,0.006983
2.51,0.000578,-0.00238,0.0068,0.00763
2.553,0.000832,-0.002191,0.00816,0.008955
2.596,0.001133,-0.001946,0.00952,0.01023
2.641,0.00148,-0.001631,0.01088,0.01157
2.683,0.001873,-0.001292,0.01224,0.012797
2.685,0.002312,-0.001265,0.0136,0.012887
2.727,0.002798,-0.000861,0.01496,0.01411
2.747,0.003329,-0.000663,0.01632,0.014578
2.789,0.003907,-0.000181,0.01768,0.015634
2.832,0.004532,0.000347,0.01904,0.016808
2.873,0.005202,0.000906,0.0204,0.018259
2.915,0.005919,0.00154,0.02176,0.01974
2.959,0.006682,0.002273,0.02312,0.021383
2.961,0.007491,0.002308,0.02448,0.021458
3.001,0.008346,0.003041,0.02584,0.02296
3.02,0.009248,0.00341,0.0272,0.023671
3.064,0.010253,0.004314,0.02864,0.025251
3.108,0.01119,0.005266,0.02992,0.026787
3.153,0.01223,0.006357,0.03128,0.028497
3.198,0.013317,0.007502,0.03264,0.030188
3.201,0.01445,0.007581,0.034,0.030301
3.241,0.015629,0.008668,0.03536,0.031854
3.258,0.016854,0.009149,0.03672,0.032536
3.299,0.018126,0.010327,0.03808,0.034134
3.342,0.019444,0.011696,0.03944,0.035877
3.382,0.020808,0.013006,0.0408,0.037447
3.422,0.022218,0.014345,0.04216,0.038967
3.466,0.023718,0.015963,0.04356,0.040763
3.468,0.025178,0.016037,0.04488,0.040843
3.507,0.026727,0.017508,0.04624,0.042389
3.53,0.028322,0.018404,0.0476,0.043314
3.575,0.029964,0.020261,0.04896,0.045222
3.619,0.031651,0.022076,0.05032,0.046991
3.661,0.033385,0.023928,0.05168,0.048991
3.703,0.035166,0.025817,0.05304,0.050942
3.704,0.036992,0.025911,0.0544,0.051037
3.746,0.038865,0.027931,0.05576,0.052816
3.768,0.040784,0.029016,0.05712,0.053662
3.811,0.042749,0.031191,0.05848,0.055304
3.855,0.04476,0.033493,0.05984,0.057115
3.896,0.046818,0.03571,0.0612,0.058832
3.939,0.048985,0.038054,0.0626,0.060552
3.94,0.051072,0.038167,0.06392,0.060632
3.982,0.053268,0.040643,0.06528,0.062343
