time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.018,0.0,-2.2e-05,0.0,-6.7e-05
0.067,0.0,-9.4e-05,0.0,-0.000251
0.103,0.0,-0.000152,0.0,-0.000383
0.145,0.0,-0.000223,0.0,-0.000572
0.189,0.0,-0.00031,0.0,-0.000852
0.19,0.0,-0.000312,0.0,-0.000858
0.229,0.0,-0.000398,0.0,-0.0011
0.253,0.0,-0.000457,0.0,-0.001053
0.296,0.0,-0.000556,0.0,-0.00094
0.338,0.0,-0.000644,0.0,-0.000879
0.381,2.3e-05,-0.000739,0.00136,-0.001005
0.426,9.2e-05,-0.000845,0.00272,-0.001136
0.426,0.000208,-0.000845,0.00408,-0.001136
0.471,0.00037,-0.00093,0.00544,-0.000147
0.489,0.000578,-0.000952,0.0068,0.000327
0.529,0.000832,-0.000969,0.00816,0.001324
0.573,0.001133,-0.000935,0.00952,0.002768
0.617,0.00148,-0.000836,0.01088,0.004217
0.662,0.001873,-0.000672,0.01224,0.005495
0.662,0.002312,-0.000672,0.0136,0.005495
0.706,0.002798,-0.00046,0.01496,0.006664
0.728,0.003329,-0.00034,0.01632,0.007221
0.765,0.003907,-8.6e-05,0.01768,0.008722
0.81,0.004532,0.000292,0.01904,0.010564
0.853,0.005202,0.000731,0.0204,0.012348
0.901,0.005919,0.001299,0.02176,0.014326
0.902,0.006682,0.001326,0.02312,0.01441
0.95,0.007491,0.002007,0.02448,0.016545
0.966,0.008346,0.002258,0.02584,0.017312
1.009,0.009248,0.002993,0.0272,0.019369
1.052,0.010196,0.003817,0.02856,0.021423
1.096,0.01119,0.004751,0.02992,0.023521
1.141,0.01223,0.005827,0.03128,0.025751
1.141,0.013317,0.005827,0.03264,0.025751
1.183,0.01445,0.006874,0.034,0.027832
1.204,0.015629,0.007389,0.03536,0.028793
1.247,0.016854,0.008679,0.03672,0.030974
1.295,0.018126,0.010158,0.03808,0.033134
1.339,0.019444,0.011605,0.03944,0.035113
1.385,0.020808,0.013247,0.0408,0.037257
1.385,0.022218,0.013247,0.04216,0.037257
1.427,0.023675,0.014762,0.04352,0.039115
1.442,0.025178,0.015335,0.04488,0.039813
1.486,0.026727,0.017077,0.04624,0.04186
1.533,0.028322,0.019037,0.0476,0.044038
1.577,0.029964,0.020967,0.04896,0.046164
1.621,0.031651,0.02299,0.05032,0.048271
1.621,0.033385,0.02299,0.05168,0.048271
