time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.036,0.0,-7.7e-05,0.0,9.3e-05
0.078,0.0,-0.00016,0.0,0.0002
0.122,0.0,-0.000241,0.0,0.000306
0.164,0.0,-0.000321,0.0,0.000159
0.21,0.0,-0.000415,0.0,-0.0
0.211,0.0,-0.000417,0.0,-4e-06
0.256,0.0,-0.000511,0.0,9.2e-05
0.265,0.0,-0.000528,0.0,0.000121
0.306,0.0,-0.000608,0.0,0.000278
0.35,0.0,-0.000687,0.0,0.000367
0.396,2.3e-05,-0.000766,0.00136,0.000429
0.438,9.2e-05,-0.000829,0.00272,0.001155
0.44,0.000208,-0.000831,0.00408,0.001232
0.482,0.00037,-0.000834,0.00544,0.002843
0.503,0.000578,-0.00081,0.0068,0.003646
0.548,0.000832,-0.000698,0.00816,0.005586
0.594,0.001133,-0.000495,0.00952,0.007652
0.64,0.00148,-0.000183,0.01088,0.009829
0.641,0.001873,-0.000175,0.01224,0.009876
0.683,0.002326,0.000193,0.01364,0.011843
0.707,0.002798,0.00044,0.01496,0.012962
0.75,0.003329,0.000958,0.01632,0.015417
0.792,0.003907,0.001572,0.01768,0.017994
0.835,0.004532,0.00231,0.01904,0.020417
0.878,0.005202,0.003142,0.0204,0.022453
0.878,0.005919,0.003142,0.02176,0.022453
0.919,0.006682,0.004016,0.02312,0.024382
0.944,0.007491,0.004589,0.02448,0.025609
0.985,0.008346,0.005594,0.02584,0.02761
1.032,0.009248,0.006846,0.0272,0.029845
1.076,0.010196,0.00811,0.02856,0.031807
1.118,0.01119,0.009397,0.02992,0.033665
1.12,0.01223,0.009461,0.03128,0.033753
1.161,0.013317,0.010786,0.03264,0.035112
1.183,0.01445,0.01152,0.034,0.035837
1.228,0.015629,0.013072,0.03536,0.03739
1.271,0.016854,0.014629,0.03672,0.039215
1.314,0.018126,0.016264,0.03808,0.041022
1.361,0.019444,0.018127,0.03944,0.042409
1.362,0.020808,0.018208,0.0408,0.042464
1.404,0.022218,0.019886,0.04216,0.043589
1.42,0.023675,0.020553,0.04352,0.044024
1.463,0.025178,0.022394,0.04488,0.045809
1.506,0.026727,0.024312,0.04624,0.047574
1.553,0.028322,0.026503,0.0476,0.050021
1.597,0.029964,0.028616,0.04896,0.052419
1.598,0.031651,0.028717,0.05032,0.052529
1.639,0.033385,0.030831,0.05168,0.054795
1.659,0.035166,0.031896,0.05304,0.055894
1.701,0.036992,0.034204,0.0544,0.058181
1.735,0.038865,0.036141,0.05576,0.059914
1.774,0.040727,0.038432,0.05708,0.061741
1.816,0.042749,0.040978,0.05848,0.063683
1.856,0.04476,0.043468,0.05984,0.064999
1.897,0.046818,0.046073,0.0612,0.066271
1.898,0.048922,0.046137,0.06256,0.066302
1.938,0.051072,0.048729,0.06392,0.06748
1.965,0.053268,0.050504,0.06528,0.068219
2.006,0.055511,0.053238,0.06664,0.069327
2.047,0.0578,0.056019,0.068,0.070575
2.091,0.060135,0.059062,0.06936,0.071979
2.138,0.062516,0.062378,0.07072,0.073144
2.176,0.064944,0.065159,0.07208,0.073686
2.177,0.067418,0.065159,0.07344,0.073686
2.218,0.069938,0.068105,0.0748,0.074245
2.237,0.072504,0.06948,0.07616,0.074715
2.276,0.075117,0.072331,0.07752,0.075718
2.319,0.077776,0.07552,0.07888,0.076806
2.36,0.080481,0.07869,0.08024,0.078394
2.403,0.083232,0.081928,0.0816,0.079984
2.447,0.08603,0.085392,0.08296,0.081689
2.447,0.088873,0.085392,0.08432,0.081689
2.487,0.091763,0.088607,0.08568,0.083256
2.509,0.0947,0.09032,0.08704,0.084069
2.549,0.097682,0.093716,0.0884,0.085881
2.595,0.100711,0.097619,0.08976,0.088007
2.638,0.103786,0.101442,0.09112,0.089883
2.68,0.106907,0.105074,0.09248,0.091468
2.681,0.110074,0.105163,0.09384,0.091506
2.724,0.113288,0.109043,0.0952,0.093162
2.746,0.116548,0.111057,0.09656,0.094099
2.793,0.119854,0.115427,0.09792,0.096077
2.84,0.123206,0.119891,0.09928,0.098095
2.881,0.126605,0.123864,0.10064,0.099914
2.921,0.130152,0.127812,0.10204,0.101675
2.923,0.133541,0.128011,0.10336,0.101787
2.968,0.137078,0.132554,0.10472,0.104279
