time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.002,0.0,0.0,0.0,3e-06
0.043,0.0,8e-06,0.0,6.9e-05
0.062,0.0,1.2e-05,0.0,9.9e-05
0.11,0.0,2.5e-05,0.0,0.000167
0.158,0.0,4.1e-05,0.0,0.000195
0.2,0.0,5.5e-05,0.0,0.000219
0.202,0.0,5.6e-05,0.0,0.000224
0.242,0.0,7.2e-05,0.0,0.000319
0.267,0.0,8.5e-05,0.0,0.000378
0.313,0.0,0.00011,0.0,0.000433
0.355,2.3e-05,0.000133,0.00136,0.000363
0.395,9.8e-05,0.000152,0.0028,0.000296
0.439,0.000208,0.000204,0.00408,0.001905
0.44,0.00037,0.000204,0.00544,0.001905
0.48,0.000578,0.000319,0.0068,0.003511
0.505,0.000832,0.000423,0.00816,0.004591
0.548,0.001133,0.000683,0.00952,0.007169
0.591,0.00148,0.001054,0.01088,0.009728
0.636,0.001873,0.001549,0.01224,0.011851
0.68,0.002312,0.00212,0.0136,0.013779
0.68,0.002798,0.00212,0.01496,0.013779
0.723,0.003329,0.00276,0.01632,0.015677
0.741,0.003907,0.003053,0.01768,0.016477
0.786,0.004532,0.003846,0.01904,0.018466
0.835,0.005202,0.004811,0.0204,0.020575
0.876,0.005919,0.005697,0.02176,0.022312
0.91,0.006682,0.006461,0.02312,0.023761
0.942,0.007491,0.007278,0.02448,0.025387
0.983,0.008398,0.008367,0.02592,0.027392
0.983,0.009248,0.008367,0.0272,0.027392
1.026,0.010196,0.009593,0.02856,0.029251
1.047,0.01119,0.01022,0.02992,0.030081
1.089,0.01223,0.011524,0.03128,0.03173
1.133,0.013317,0.01297,0.03264,0.033732
1.178,0.01445,0.014543,0.034,0.035858
1.222,0.015629,0.016217,0.03536,0.038371
1.223,0.016854,0.016255,0.03672,0.038435
1.266,0.018126,0.017933,0.03808,0.041087
1.285,0.019444,0.018728,0.03944,0.042278
1.325,0.020808,0.020468,0.0408,0.044231
1.369,0.022218,0.022461,0.04216,0.046042
1.412,0.023675,0.024485,0.04352,0.047762
1.456,0.025178,0.026631,0.04488,0.04943
1.457,0.026727,0.02668,0.04624,0.049468
1.499,0.028322,0.028798,0.0476,0.051039
1.524,0.029964,0.030082,0.04896,0.05145
1.569,0.031651,0.032421,0.05032,0.052182
1.604,0.033437,0.034262,0.05172,0.052767
1.646,0.035166,0.036519,0.05304,0.054375
1.686,0.036992,0.038675,0.0544,0.055848
1.728,0.038865,0.04111,0.05576,0.056957
1.771,0.040784,0.043641,0.05712,0.057805
1.772,0.042749,0.043699,0.05848,0.057824
1.812,0.04476,0.046035,0.05984,0.058826
1.831,0.046818,0.047103,0.0612,0.059498
1.872,0.048922,0.04958,0.06256,0.061013
1.913,0.051072,0.052119,0.06392,0.062509
1.957,0.053268,0.054911,0.06528,0.064098
1.998,0.055511,0.057575,0.06664,0.065555
2.04,0.0578,0.060372,0.068,0.067314
2.041,0.060135,0.06044,0.06936,0.067356
2.083,0.062516,0.063312,0.07072,0.069108
2.103,0.064944,0.064706,0.07208,0.070036
2.145,0.067418,0.067714,0.07344,0.072826
2.188,0.069938,0.070913,0.0748,0.075635
2.231,0.072504,0.074213,0.07616,0.077162
2.271,0.075117,0.077324,0.07752,0.078064
2.314,0.077776,0.080709,0.07888,0.079224
2.316,0.080722,0.080868,0.08036,0.079296
2.359,0.083232,0.084317,0.0816,0.08082
2.376,0.08603,0.085617,0.08296,0.081379
2.42,0.088873,0.089325,0.08432,0.08328
2.468,0.091763,0.093389,0.08568,0.085727
2.512,0.0947,0.097216,0.08704,0.087661
