time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.037,0.0,-0.000289,0.0,0.00019
0.076,0.0,-0.000519,0.0,0.000878
0.117,0.0,-0.000725,0.0,0.001783
0.161,0.0,-0.000904,0.0,0.002871
0.209,0.0,-0.001032,0.0,0.004275
0.21,0.0,-0.001038,0.0,0.004366
0.252,0.0,-0.001096,0.0,0.005539
0.269,0.0,-0.001108,0.0,0.005778
0.316,0.0,-0.00112,0.0,0.006434
0.364,0.0,-0.001106,0.0,0.006491
0.407,2.3e-05,-0.001122,0.00136,0.005556
0.408,9.2e-05,-0.001122,0.00272,0.005534
0.449,0.000208,-0.001175,0.00408,0.004787
0.472,0.00037,-0.001205,0.00544,0.005338
0.514,0.000578,-0.001227,0.0068,0.006361
0.557,0.000832,-0.001202,0.00816,0.008109
0.599,0.001133,-0.00104,0.00952,0.012254
0.642,0.00148,-0.000694,0.01088,0.016456
0.685,0.001873,-0.000223,0.01224,0.017913
0.686,0.002312,-0.000211,0.0136,0.017941
0.728,0.002798,0.000299,0.01496,0.019079
0.746,0.003329,0.000532,0.01632,0.019563
0.786,0.003907,0.001113,0.01768,0.022168
0.83,0.004532,0.001872,0.01904,0.025044
0.87,0.005202,0.002672,0.0204,0.027593
0.911,0.005941,0.003596,0.0218,0.030149
0.946,0.006682,0.004467,0.02312,0.032307
0.986,0.007491,0.005552,0.02448,0.034644
0.988,0.008372,0.005609,0.02588,0.03476
1.026,0.009248,0.00673,0.0272,0.03695
1.051,0.010196,0.007513,0.02856,0.038372
1.092,0.01119,0.008873,0.02992,0.040652
1.135,0.01223,0.010399,0.03128,0.04301
1.178,0.013317,0.012026,0.03264,0.04536
1.221,0.01445,0.013754,0.034,0.047686
1.262,0.015629,0.015537,0.03536,0.049869
1.264,0.016854,0.015581,0.03672,0.049919
1.3,0.018126,0.017181,0.03808,0.051686
1.323,0.019444,0.018237,0.03944,0.052803
1.361,0.020808,0.020036,0.0408,0.054517
1.402,0.022218,0.022043,0.04216,0.056083
1.445,0.023675,0.024216,0.04352,0.057697
1.489,0.025178,0.026484,0.04488,0.05808
1.53,0.026727,0.028663,0.04624,0.058383
1.531,0.028322,0.028663,0.0476,0.058383
1.572,0.029964,0.030812,0.04896,0.059531
1.594,0.031651,0.031992,0.05032,0.060432
1.634,0.033385,0.034188,0.05168,0.062048
1.682,0.035166,0.036916,0.05304,0.064449
1.725,0.036992,0.039463,0.0544,0.066722
1.77,0.038865,0.042232,0.05576,0.069007
1.771,0.040784,0.042295,0.05712,0.069056
1.812,0.042749,0.044907,0.05848,0.071055
1.834,0.04476,0.046342,0.05984,0.072112
1.873,0.046818,0.048941,0.0612,0.073818
1.916,0.048922,0.05188,0.06256,0.075586
1.959,0.051072,0.054966,0.06392,0.077321
2.0,0.053268,0.057834,0.06528,0.078798
2.043,0.055511,0.060982,0.06664,0.080351
2.044,0.0578,0.061056,0.068,0.080387
2.086,0.060135,0.064207,0.06936,0.082345
2.104,0.062516,0.065582,0.07072,0.083186
2.147,0.064944,0.068929,0.07208,0.085164
2.189,0.067418,0.072285,0.07344,0.087368
2.231,0.069938,0.075734,0.0748,0.089537
2.272,0.072504,0.079179,0.07616,0.090924
2.318,0.075117,0.083091,0.07752,0.091905
2.319,0.077776,0.083177,0.07888,0.091926
2.358,0.080481,0.086531,0.08024,0.092916
2.376,0.083232,0.088095,0.0816,0.093573
2.417,0.08603,0.091701,0.08296,0.095045
2.463,0.088873,0.095819,0.08432,0.096813
