time,goal_position,position,goal_velocity,velocity
0.0,0.0,0.0,0.0,0.0
0.039,0.0,-6e-06,0.0,8.5e-05
0.041,0.0,-6e-06,0.0,9.1e-05
0.083,0.0,-5e-06,0.0,0.000236
0.106,0.0,-3e-06,0.0,0.000315
0.149,0.0,6e-06,0.0,0.000363
0.192,0.0,1.5e-05,0.0,0.000401
0.238,0.0,2.8e-05,0.0,0.000428
0.282,0.0,4e-05,0.0,0.000446
0.284,0.0,4.1e-05,0.0,0.000447
0.324,0.0,5.3e-05,0.0,0.000498
0.344,2.3e-05,6e-05,0.00136,0.000559
0.39,9.2e-05,8.2e-05,0.00272,0.000698
0.438,0.000208,0.000125,0.00408,0.001725
0.48,0.00037,0.000222,0.00544,0.00317
0.523,0.000578,0.000383,0.0068,0.004511
0.525,0.000832,0.000392,0.00816,0.00456
0.567,0.001133,0.000599,0.00952,0.005597
0.583,0.00148,0.000689,0.01088,0.005991
0.625,0.001873,0.000957,0.01224,0.007075
0.666,0.002312,0.001265,0.0136,0.00823
0.714,0.002798,0.001686,0.01496,0.009587
0.762,0.003329,0.002174,0.01632,0.011044
0.763,0.003907,0.002174,0.01768,0.011044
0.809,0.004532,0.00272,0.01904,0.012467
0.821,0.005202,0.002871,0.0204,0.012864
0.865,0.005919,0.003463,0.02176,0.014327
0.906,0.006682,0.004057,0.02312,0.015654
0.95,0.007491,0.004792,0.02448,0.017302
0.993,0.008346,0.005564,0.02584,0.01889
0.994,0.009248,0.005564,0.0272,0.01889
1.036,0.010196,0.006406,0.02856,0.020591
1.058,0.01119,0.006866,0.02992,0.021498
1.106,0.01223,0.007939,0.03128,0.02347
1.15,0.013317,0.009002,0.03264,0.025095
1.192,0.01445,0.010056,0.034,0.026586
1.235,0.015629,0.011257,0.03536,0.028328
1.237,0.016854,0.011313,0.03672,0.028412
1.284,0.018126,0.012689,0.03808,0.030384
1.297,0.019444,0.013085,0.03944,0.030927
1.342,0.020808,0.014513,0.0408,0.032785
1.385,0.022218,0.015955,0.04216,0.034544
1.432,0.023675,0.017614,0.04352,0.036182
1.479,0.025178,0.019376,0.04488,0.03753
1.481,0.026727,0.019451,0.04624,0.037586
1.525,0.028322,0.021089,0.0476,0.038982
1.534,0.029964,0.021479,0.04896,0.039391
1.581,0.031651,0.023328,0.05032,0.041263
1.628,0.033385,0.025307,0.05168,0.043307
1.67,0.035166,0.027163,0.05304,0.045334
1.711,0.036992,0.029057,0.0544,0.047283
1.712,0.038865,0.029104,0.05576,0.047318
1.752,0.040784,0.031019,0.05712,0.048714
1.776,0.042866,0.032195,0.05856,0.049545
1.818,0.04476,0.034301,0.05984,0.051053
1.865,0.046818,0.036742,0.0612,0.053077
1.909,0.048922,0.039113,0.06256,0.054952
1.952,0.051072,0.041516,0.06392,0.057109
1.953,0.053268,0.041573,0.06528,0.057159
1.998,0.055511,0.04419,0.06664,0.059402
2.01,0.0578,0.044905,0.068,0.059995
2.048,0.060135,0.047208,0.06936,0.061488
2.092,0.062516,0.049945,0.07072,0.063198
2.136,0.064944,0.052765,0.07208,0.065438
2.179,0.067418,0.055627,0.07344,0.067939
2.221,0.070013,0.058525,0.07484,0.07014
2.221,0.072657,0.058525,0.07624,0.07014
2.252,0.075194,0.060714,0.07756,0.071354
2.285,0.077855,0.063085,0.07892,0.072635
2.33,0.080561,0.066386,0.08028,0.074286
2.376,0.083314,0.069833,0.08164,0.075835
2.419,0.086112,0.073119,0.083,0.077344
2.421,0.088958,0.073273,0.08436,0.07743
2.464,0.091849,0.076557,0.08572,0.079218
2.487,0.094787,0.078468,0.08708,0.080231
2.528,0.09777,0.081787,0.08844,0.081944
2.577,0.100801,0.085845,0.0898,0.083961
2.62,0.103877,0.089488,0.09116,0.085749
2.663,0.106999,0.093122,0.09252,0.087599
2.664,0.110168,0.093297,0.09388,0.087687
2.707,0.113383,0.097103,0.09524,0.089559
2.725,0.116644,0.098719,0.0966,0.090309
2.771,0.119952,0.102911,0.09796,0.092197
2.815,0.123306,0.107001,0.09932,0.093997
2.851,0.126605,0.110408,0.10064,0.09555
2.891,0.130254,0.114259,0.10208,0.097258
2.929,0.133645,0.117881,0.1034,0.09881
2.931,0.137183,0.118177,0.10476,0.098934
2.973,0.140768,0.122363,0.10612,0.100664
2.998,0.144399,0.124889,0.10748,0.101683
3.038,0.148077,0.128984,0.10884,0.1033
3.081,0.1518,0.133562,0.1102,0.105057
3.127,0.15557,0.138324,0.11156,0.106891
3.169,0.159387,0.142845,0.11292,0.108674
3.171,0.163249,0.143062,0.11428,0.108759
3.216,0.167158,0.147993,0.11564,0.110639
3.235,0.171113,0.149989,0.117,0.111375
3.277,0.175114,0.15481,0.11836,0.113116
3.325,0.179161,0.16028,0.11972,0.115116
3.368,0.183255,0.165265,0.12108,0.117046
3.409,0.187394,0.170096,0.12244,0.118861
3.41,0.191581,0.170215,0.1238,0.118905
3.457,0.195813,0.175727,0.12516,0.120987
3.474,0.200091,0.177909,0.12652,0.121793
3.514,0.204416,0.182811,0.12788,0.12358
3.56,0.208787,0.18854,0.12924,0.125738
3.602,0.213205,0.193856,0.1306,0.127678
3.645,0.217668,0.199381,0.13196,0.129572
3.646,0.222178,0.199511,0.13332,0.129615
3.693,0.226734,0.205776,0.13468,0.131679
3.71,0.231336,0.207886,0.13604,0.132358
3.751,0.236122,0.213342,0.13744,0.134033
3.789,0.240818,0.218459,0.1388,0.135563
3.829,0.24542,0.223908,0.14012,0.137219
3.871,0.250207,0.229704,0.14148,0.139039
3.913,0.255041,0.235576,0.14284,0.140837
3.957,0.259921,0.241811,0.1442,0.142824
3.959,0.264846,0.242096,0.14556,0.142913
4.001,0.269819,0.248133,0.14692,0.144777
4.018,0.274837,0.250598,0.14828,0.145502
4.064,0.279902,0.257328,0.14964,0.14738
4.106,0.285013,0.263548,0.151,0.149065
4.151,0.29017,0.270289,0.15236,0.15081
4.187,0.295373,0.275738,0.15372,0.15218
4.228,0.300623,0.282158,0.15508,0.153837
4.229,0.305918,0.282158,0.15644,0.153837
4.271,0.311261,0.28865,0.1578,0.155566
4.289,0.316649,0.291454,0.15916,0.156297
4.337,0.322083,0.298997,0.16052,0.158294
4.37,0.327726,0.30408,0.16192,0.159641
4.4,0.333254,0.308723,0.16328,0.160846
4.438,0.338665,0.315024,0.1646,0.162549
4.482,0.344284,0.322378,0.16596,0.164546
4.525,0.34995,0.329488,0.16732,0.166434
4.573,0.355662,0.337521,0.16868,0.168533
4.574,0.36142,0.337521,0.17004,0.168533
4.621,0.367225,0.345824,0.1714,0.170615
4.629,0.373075,0.347018,0.17276,0.170903
4.672,0.378972,0.354399,0.17412,0.17265
4.716,0.384915,0.362029,0.17548,0.174438
4.763,0.390905,0.370271,0.17684,0.176537
4.806,0.396941,0.377897,0.1782,0.17842
4.808,0.403022,0.378253,0.17956,0.178507
4.843,0.409332,0.384523,0.18096,0.179998
4.869,0.415325,0.389032,0.18228,0.181049
4.907,0.421546,0.39612,0.18364,0.182664
4.953,0.427812,0.404744,0.185,0.184578
4.995,0.434126,0.412339,0.18636,0.186215
5.041,0.440485,0.420941,0.18772,0.188058
5.042,0.446891,0.421317,0.18908,0.188138
5.085,0.453342,0.429249,0.19044,0.189806
5.105,0.459841,0.43305,0.1918,0.190589
5.147,0.466385,0.440127,0.19316,0.192239
5.194,0.472975,0.450177,0.19452,0.194559
5.237,0.479612,0.458577,0.19588,0.196366
5.282,0.486295,0.467448,0.19724,0.198176
5.282,0.493024,0.467448,0.1986,0.198176
5.325,0.4998,0.476001,0.19996,0.199896
5.344,0.5066,0.480004,0.2,0.200707
5.389,0.5134,0.488868,0.2,0.202462
5.436,0.5202,0.498616,0.2,0.203682
5.479,0.527,0.507177,0.2,0.204286
5.527,0.5338,0.517196,0.2,0.204897
5.528,0.5406,0.517196,0.2,0.204897
5.568,0.5474,0.525393,0.2,0.205275
5.582,0.5542,0.528266,0.2,0.205406
5.627,0.561,0.537512,0.2,0.20583
5.674,0.5678,0.54719,0.2,0.20628
5.719,0.5746,0.556475,0.2,0.206682
5.721,0.5814,0.556888,0.2,0.206696
5.762,0.5882,0.564949,0.2,0.206969
5.787,0.595,0.570328,0.2,0.207146
5.833,0.6018,0.580064,0.2,0.207407
5.874,0.6086,0.588565,0.2,0.207585
5.917,0.6154,0.597281,0.2,0.207776
5.959,0.6222,0.606214,0.2,0.208042
5.96,0.629,0.606422,0.2,0.208048
6.0,0.6358,0.614743,0.2,0.208286
6.023,0.6426,0.619531,0.2,0.208416
6.062,0.6494,0.627658,0.2,0.208627
6.111,0.6562,0.637879,0.2,0.208874
6.154,0.663,0.647061,0.2,0.2088
6.203,0.6698,0.657074,0.2,0.208717
6.203,0.6766,0.657074,0.2,0.208717
6.246,0.6834,0.66625,0.2,0.208689
6.262,0.6902,0.669378,0.2,0.208682
6.303,0.697,0.677927,0.2,0.20866
6.347,0.703793,0.687102,0.19924,0.208701
6.394,0.710544,0.697531,0.19788,0.208758
6.43,0.717249,0.704411,0.19652,0.208283
6.478,0.723907,0.714371,0.19516,0.207066
6.48,0.73052,0.714785,0.1938,0.207016
6.522,0.737086,0.72345,0.19244,0.205924
6.533,0.743605,0.725712,0.19108,0.205609
6.575,0.750079,0.734315,0.18972,0.204421
6.623,0.756506,0.744086,0.18836,0.202975
6.665,0.762887,0.752773,0.187,0.201398
6.708,0.769222,0.761193,0.18564,0.199889
6.709,0.775511,0.761392,0.18428,0.199854
6.749,0.781753,0.769353,0.18292,0.198522
6.772,0.78795,0.774104,0.18156,0.197737
6.819,0.7941,0.783157,0.1802,0.196197
6.865,0.800203,0.792134,0.17884,0.194448
6.908,0.806261,0.800453,0.17748,0.192847
6.955,0.812272,0.809658,0.17612,0.191039
6.957,0.818237,0.809849,0.17476,0.191002
6.998,0.824155,0.817642,0.1734,0.189488
7.01,0.830028,0.819722,0.17204,0.189087
7.051,0.835854,0.827624,0.17068,0.187527
7.095,0.841634,0.835832,0.16932,0.185923
7.14,0.847368,0.844153,0.16796,0.184198
7.179,0.853056,0.8513,0.1666,0.182679
7.223,0.858697,0.859292,0.16524,0.180895
7.224,0.864292,0.859473,0.16388,0.18085
7.265,0.869841,0.866664,0.16252,0.179041
7.282,0.875343,0.869876,0.16116,0.178237
7.322,0.880799,0.876963,0.1598,0.176468
7.366,0.88621,0.884677,0.15844,0.174543
7.41,0.891573,0.89248,0.15708,0.172607
7.453,0.896891,0.89968,0.15572,0.170616
7.454,0.902162,0.899851,0.15436,0.170569
7.495,0.90754,0.906798,0.15296,0.16866
7.521,0.912566,0.911162,0.15164,0.167436
7.565,0.917699,0.918475,0.15028,0.165324
7.601,0.922785,0.924226,0.14892,0.163671
7.643,0.927826,0.931214,0.14756,0.16172
7.687,0.93282,0.938279,0.1462,0.159773
7.73,0.937767,0.945101,0.14484,0.157874
7.731,0.942669,0.945259,0.14348,0.15783
7.774,0.947524,0.952153,0.14212,0.155883
7.795,0.952474,0.955258,0.14072,0.155009
7.836,0.957096,0.96157,0.1394,0.153217
7.876,0.961812,0.967656,0.13804,0.151482
7.92,0.966482,0.974272,0.13668,0.149585
7.958,0.971106,0.979918,0.13532,0.147916
8.002,0.975684,0.986522,0.13396,0.145971
8.004,0.980216,0.986668,0.1326,0.145928
8.044,0.984701,0.992462,0.13124,0.144124
8.064,0.98914,0.995332,0.12988,0.143221
8.103,0.993533,1.000877,0.12852,0.141481
8.147,0.997879,1.007048,0.12716,0.139367
8.189,1.00218,1.012852,0.1258,0.13735
8.23,1.006434,1.018436,0.12444,0.13541
8.272,1.010641,1.024075,0.12308,0.133451
8.273,1.014803,1.024075,0.12172,0.133451
8.314,1.018918,1.0295,0.12036,0.131553
8.334,1.022988,1.032248,0.119,0.130497
8.372,1.02701,1.037035,0.11764,0.128655
8.411,1.030987,1.042135,0.11628,0.126691
8.449,1.034917,1.046786,0.11492,0.125081
8.493,1.038802,1.052364,0.11356,0.123158
8.537,1.042639,1.057731,0.1122,0.121104
8.572,1.046431,1.061933,0.11084,0.119393
8.608,1.050286,1.066194,0.10944,0.117654
8.61,1.053876,1.066429,0.10812,0.117558
8.653,1.057529,1.071433,0.10676,0.115553
8.676,1.061136,1.074074,0.1054,0.114493
8.715,1.064696,1.078498,0.10404,0.112702
8.762,1.06821,1.083734,0.10268,0.110486
8.805,1.071678,1.088434,0.10132,0.108488
8.848,1.0751,1.093049,0.09996,0.106517
8.849,1.078475,1.093156,0.0986,0.106471
8.89,1.081805,1.09758,0.09724,0.104571
8.914,1.085088,1.099969,0.09588,0.103544
8.955,1.088325,1.10417,0.09452,0.101751
8.998,1.091515,1.108498,0.09316,0.099895
9.041,1.09466,1.112746,0.0918,0.098023
9.083,1.097758,1.116817,0.09044,0.096203
9.125,1.100809,1.120718,0.08908,0.094399
9.126,1.103815,1.120906,0.08772,0.094307
9.173,1.106774,1.12528,0.08636,0.092159
9.186,1.109687,1.126472,0.085,0.09157
9.227,1.112554,1.130181,0.08364,0.089709
9.268,1.115375,1.133901,0.08228,0.087803
9.31,1.11823,1.137542,0.08088,0.085918
9.351,1.120878,1.140936,0.07956,0.084136
9.397,1.12356,1.144751,0.0782,0.08211
9.399,1.126195,1.144915,0.07684,0.082023
9.44,1.128785,1.148232,0.07548,0.080122
9.458,1.131328,1.149664,0.07412,0.079275
9.498,1.133825,1.15279,0.07276,0.077407
9.539,1.136275,1.155917,0.0714,0.075512
9.586,1.13868,1.159408,0.07004,0.073363
9.628,1.141038,1.162442,0.06868,0.071476
9.67,1.14335,1.165397,0.06732,0.069623
9.672,1.145616,1.165536,0.06596,0.069535
9.712,1.147836,1.168208,0.0646,0.067832
9.731,1.150009,1.169552,0.06324,0.066928
9.77,1.152136,1.172121,0.06188,0.065179
9.816,1.154217,1.175064,0.06052,0.063129
9.86,1.156251,1.177851,0.05916,0.061099
9.905,1.15824,1.180488,0.0578,0.059133
9.907,1.160182,1.180606,0.05644,0.059044
9.948,1.162077,1.182983,0.05508,0.05728
9.968,1.163927,1.184117,0.05372,0.056427
10.009,1.16573,1.186388,0.05236,0.05469
